Time	(21) S1i	(22) S2i	(23) S3i	(24) S4i	
0	-0.06	-0.06	-0.06	-0.06	
0.0002	-0.06	-0.06	-0.06	-0.06	
0.0004	-0.05997247	-0.05999995	-0.05997244	-0.05993855	
0.0006	-0.05991961	-0.05999985	-0.05991952	-0.05982074	
0.0008	-0.05984356	-0.05999971	-0.05984339	-0.05965159	
0.0009999999	-0.05974637	-0.05999953	-0.05974609	-0.059436	
0.0012	-0.05962997	-0.05999931	-0.05962956	-0.05917874	
0.0014	-0.05949624	-0.05999905	-0.05949568	-0.05888441	
0.0016	-0.05934692	-0.05999877	-0.0593462	-0.05855739	
0.0018	-0.05918369	-0.05999846	-0.05918279	-0.05820187	
0.002	-0.05900814	-0.05999811	-0.05900704	-0.05782181	
0.0022	-0.05882174	-0.05999773	-0.05882042	-0.05742092	
0.0024	-0.05862589	-0.05999732	-0.05862433	-0.05700271	
0.0026	-0.05842188	-0.05999689	-0.05842008	-0.05657041	
0.0028	-0.05821094	-0.05999645	-0.05820888	-0.05612704	
0.003	-0.0579942	-0.059996	-0.05799187	-0.05567535	
0.0032	-0.05777271	-0.05999554	-0.05777011	-0.05521789	
0.0034	-0.05754745	-0.05999507	-0.05754457	-0.05475697	
0.0036	-0.05731931	-0.05999459	-0.05731615	-0.0542947	
0.0038	-0.05708913	-0.05999411	-0.05708569	-0.05383296	
0.004	-0.05685766	-0.05999362	-0.05685394	-0.05337345	
0.0042	-0.0566256	-0.05999313	-0.05662161	-0.05291768	
0.0044	-0.05639359	-0.05999264	-0.05638932	-0.05246698	
0.0046	-0.05616221	-0.05999215	-0.05615767	-0.05202254	
0.0048	-0.05593198	-0.05999165	-0.05592717	-0.05158535	
0.005	-0.05570337	-0.05999115	-0.0556983	-0.0511563	
0.0052	-0.05547681	-0.05999065	-0.05547148	-0.05073613	
0.0054	-0.05525267	-0.05999016	-0.0552471	-0.05032546	
0.0056	-0.05503131	-0.05998966	-0.05502549	-0.04992482	
0.0058	-0.054813	-0.05998917	-0.05480695	-0.04953459	
0.006	-0.05459802	-0.05998868	-0.05459174	-0.04915512	
0.0062	-0.05438659	-0.05998819	-0.05438009	-0.04878663	
0.0064	-0.05417892	-0.05998771	-0.05417221	-0.04842928	
0.0066	-0.05397516	-0.05998723	-0.05396825	-0.04808317	
0.0068	-0.05377547	-0.05998676	-0.05376836	-0.04774833	
0.007	-0.05357995	-0.05998629	-0.05357265	-0.04742476	
0.0072	-0.05338871	-0.05998582	-0.05338123	-0.04711237	
0.0074	-0.05320181	-0.05998536	-0.05319416	-0.04681108	
0.0076	-0.05301931	-0.05998491	-0.0530115	-0.04652073	
0.0078	-0.05284125	-0.05998446	-0.05283328	-0.04624117	
0.007999999	-0.05266766	-0.05998402	-0.05265953	-0.04597219	
0.0082	-0.05249853	-0.05998359	-0.05249026	-0.04571357	
0.0084	-0.05233386	-0.05998316	-0.05232546	-0.04546509	
0.008599999	-0.05217364	-0.05998274	-0.05216511	-0.04522648	
0.0088	-0.05201784	-0.05998232	-0.05200919	-0.04499749	
0.009	-0.05186643	-0.05998191	-0.05185766	-0.04477785	
0.0092	-0.05171935	-0.05998151	-0.05171048	-0.04456727	
0.0094	-0.05157657	-0.05998112	-0.05156759	-0.04436548	
0.0096	-0.05143801	-0.05998073	-0.05142894	-0.04417219	
0.0098	-0.05130362	-0.05998035	-0.05129445	-0.04398711	
0.01	-0.05117333	-0.05997998	-0.05116408	-0.04380996	
0.0102	-0.05104706	-0.05997961	-0.05103773	-0.04364046	
0.0104	-0.05092475	-0.05997925	-0.05091534	-0.04347832	
0.0106	-0.05080631	-0.0599789	-0.05079683	-0.04332327	
0.0108	-0.05069165	-0.05997856	-0.0506821	-0.04317503	
0.011	-0.0505807	-0.05997822	-0.05057109	-0.04303334	
0.0112	-0.05047337	-0.05997789	-0.05046371	-0.04289794	
0.0114	-0.05036958	-0.05997757	-0.05035986	-0.04276858	
0.0116	-0.05026923	-0.05997725	-0.05025946	-0.04264499	
0.0118	-0.05017225	-0.05997695	-0.05016243	-0.04252696	
0.012	-0.05007854	-0.05997664	-0.05006868	-0.04241423	
0.0122	-0.04998802	-0.05997635	-0.04997811	-0.04230659	
0.0124	-0.04990059	-0.05997606	-0.04989065	-0.04220381	
0.0126	-0.04981618	-0.05997578	-0.0498062	-0.04210569	
0.0128	-0.04973469	-0.0599755	-0.04972468	-0.04201202	
0.013	-0.04965605	-0.05997524	-0.04964601	-0.04192261	
0.0132	-0.04958016	-0.05997498	-0.0495701	-0.04183726	
0.0134	-0.04950695	-0.05997472	-0.04949686	-0.0417558	
0.0136	-0.04943634	-0.05997448	-0.04942622	-0.04167804	
0.0138	-0.04936824	-0.05997423	-0.0493581	-0.04160383	
0.014	-0.04930258	-0.059974	-0.04929242	-0.04153299	
0.0142	-0.04923927	-0.05997377	-0.0492291	-0.04146539	
0.0144	-0.04917825	-0.05997355	-0.04916806	-0.04140086	
0.0146	-0.04911944	-0.05997333	-0.04910924	-0.04133927	
0.0148	-0.04906277	-0.05997312	-0.04905255	-0.04128048	
0.015	-0.04900816	-0.05997291	-0.04899793	-0.04122437	
0.0152	-0.04895556	-0.05997271	-0.04894532	-0.0411708	
0.0154	-0.04890489	-0.05997251	-0.04889464	-0.04111967	
0.0156	-0.04885608	-0.05997232	-0.04884582	-0.04107085	
0.0158	-0.04880908	-0.05997214	-0.04879881	-0.04102425	
0.016	-0.04876382	-0.05997195	-0.04875354	-0.04097975	
0.0162	-0.04872024	-0.05997178	-0.04870996	-0.04093727	
0.0164	-0.04867828	-0.05997161	-0.048668	-0.0408967	
0.0166	-0.04863789	-0.05997144	-0.0486276	-0.04085795	
0.0168	-0.04859902	-0.05997128	-0.04858872	-0.04082095	
0.017	-0.0485616	-0.05997113	-0.0485513	-0.04078561	
0.0172	-0.04852559	-0.05997097	-0.04851529	-0.04075186	
0.0174	-0.04849093	-0.05997083	-0.04848063	-0.04071961	
0.0176	-0.04845759	-0.05997068	-0.04844728	-0.0406888	
0.0178	-0.0484255	-0.05997055	-0.04841519	-0.04065937	
0.018	-0.04839463	-0.05997041	-0.04838432	-0.04063125	
0.0182	-0.04836493	-0.05997028	-0.04835461	-0.04060437	
0.0184	-0.04833636	-0.05997015	-0.04832604	-0.04057868	
0.0186	-0.04830888	-0.05997003	-0.04829856	-0.04055413	
0.0188	-0.04828244	-0.05996991	-0.04827212	-0.04053067	
0.019	-0.04825702	-0.05996979	-0.04824669	-0.04050823	
0.0192	-0.04823256	-0.05996968	-0.04822224	-0.04048678	
0.0194	-0.04820904	-0.05996957	-0.04819871	-0.04046628	
0.0196	-0.04818643	-0.05996946	-0.0481761	-0.04044667	
0.0198	-0.04816468	-0.05996936	-0.04815435	-0.04042792	
0.02	-0.04814376	-0.05996926	-0.04813343	-0.04040998	
0.0202	-0.04812365	-0.05996916	-0.04811332	-0.04039282	
0.0204	-0.04810432	-0.05996907	-0.04809398	-0.04037641	
0.0206	-0.04808573	-0.05996898	-0.04807539	-0.04036071	
0.0208	-0.04806785	-0.05996889	-0.04805752	-0.04034568	
0.021	-0.04805067	-0.05996881	-0.04804033	-0.04033131	
0.0212	-0.04803415	-0.05996872	-0.04802381	-0.04031755	
0.0214	-0.04801827	-0.05996865	-0.04800792	-0.04030439	
0.0216	-0.048003	-0.05996857	-0.04799265	-0.04029179	
0.0218	-0.04798833	-0.0599685	-0.04797798	-0.04027972	
0.022	-0.04797422	-0.05996842	-0.04796387	-0.04026818	
0.0222	-0.04796067	-0.05996836	-0.04795031	-0.04025712	
0.0224	-0.04794763	-0.05996829	-0.04793727	-0.04024654	
0.0226	-0.0479351	-0.05996822	-0.04792473	-0.0402364	
0.0228	-0.04792306	-0.05996816	-0.04791269	-0.04022669	
0.023	-0.04791149	-0.0599681	-0.04790112	-0.0402174	
0.0232	-0.04790037	-0.05996804	-0.04788999	-0.0402085	
0.0234	-0.04788968	-0.05996799	-0.04787929	-0.04019997	
0.0236	-0.04787941	-0.05996793	-0.04786902	-0.0401918	
0.0238	-0.04786954	-0.05996788	-0.04785914	-0.04018397	
0.024	-0.04786005	-0.05996783	-0.04784964	-0.04017647	
0.0242	-0.04785093	-0.05996778	-0.04784052	-0.04016928	
0.0244	-0.04784217	-0.05996773	-0.04783175	-0.0401624	
0.0246	-0.04783375	-0.05996769	-0.04782332	-0.0401558	
0.0248	-0.04782566	-0.05996764	-0.04781523	-0.04014948	
0.025	-0.04781789	-0.0599676	-0.04780744	-0.04014342	
0.0252	-0.04781042	-0.05996756	-0.04779996	-0.0401376	
0.0254	-0.04780324	-0.05996752	-0.04779277	-0.04013203	
0.0256	-0.04779634	-0.05996748	-0.04778587	-0.0401267	
0.0258	-0.04778972	-0.05996745	-0.04777923	-0.04012158	
0.026	-0.04778335	-0.05996741	-0.04777285	-0.04011667	
0.0262	-0.04777723	-0.05996738	-0.04776672	-0.04011197	
0.0264	-0.04777135	-0.05996735	-0.04776083	-0.04010746	
0.0266	-0.0477657	-0.05996732	-0.04775517	-0.04010313	
0.0268	-0.04776027	-0.05996729	-0.04774973	-0.04009898	
0.027	-0.04775506	-0.05996726	-0.04774451	-0.04009501	
0.0272	-0.04775005	-0.05996723	-0.04773948	-0.04009119	
0.0274	-0.04774524	-0.0599672	-0.04773466	-0.04008753	
0.0276	-0.04774062	-0.05996718	-0.04773002	-0.04008402	
0.0278	-0.04773618	-0.05996716	-0.04772556	-0.04008065	
0.028	-0.04773191	-0.05996713	-0.04772128	-0.04007742	
0.0282	-0.0477278	-0.05996711	-0.04771717	-0.04007432	
0.0284	-0.04772387	-0.05996709	-0.04771321	-0.04007135	
0.0286	-0.04772008	-0.05996707	-0.04770941	-0.0400685	
0.0288	-0.04771645	-0.05996705	-0.04770576	-0.04006576	
0.029	-0.04771296	-0.05996703	-0.04770225	-0.04006314	
0.0292	-0.0477096	-0.05996701	-0.04769888	-0.04006062	
0.0294	-0.04770638	-0.059967	-0.04769564	-0.0400582	
0.0296	-0.04770328	-0.05996698	-0.04769253	-0.04005588	
0.0298	-0.04770031	-0.05996696	-0.04768953	-0.04005365	
0.03	-0.04769745	-0.05996695	-0.04768666	-0.04005152	
0.0302	-0.04769471	-0.05996693	-0.0476839	-0.04004947	
0.0304	-0.04769208	-0.05996692	-0.04768124	-0.0400475	
0.0306	-0.04768954	-0.05996691	-0.04767869	-0.04004561	
0.0308	-0.04768711	-0.0599669	-0.04767624	-0.0400438	
0.031	-0.04768477	-0.05996688	-0.04767388	-0.04004206	
0.0312	-0.04768253	-0.05996687	-0.04767162	-0.04004039	
0.0314	-0.04768038	-0.05996686	-0.04766944	-0.04003878	
0.0316	-0.04767831	-0.05996685	-0.04766735	-0.04003724	
0.0318	-0.04767632	-0.05996684	-0.04766534	-0.04003577	
0.032	-0.04767441	-0.05996684	-0.04766341	-0.04003435	
0.0322	-0.04767258	-0.05996682	-0.04766155	-0.04003299	
0.0324	-0.04767082	-0.05996682	-0.04765977	-0.04003168	
0.0326	-0.04766913	-0.05996681	-0.04765806	-0.04003043	
0.0328	-0.0476675	-0.05996681	-0.04765641	-0.04002922	
0.033	-0.04766594	-0.0599668	-0.04765483	-0.04002807	
0.0332	-0.04766444	-0.0599668	-0.0476533	-0.04002696	
0.0334	-0.04766301	-0.05996679	-0.04765184	-0.04002589	
0.0336	-0.04766163	-0.05996678	-0.04765043	-0.04002487	
0.0338	-0.0476603	-0.05996678	-0.04764908	-0.04002388	
0.034	-0.04765903	-0.05996677	-0.04764778	-0.04002294	
0.0342	-0.04765781	-0.05996677	-0.04764653	-0.04002203	
0.0344	-0.04765663	-0.05996677	-0.04764533	-0.04002116	
0.0346	-0.04765551	-0.05996677	-0.04764418	-0.04002033	
0.0348	-0.04765442	-0.05996676	-0.04764307	-0.04001952	
0.035	-0.04765339	-0.05996676	-0.047642	-0.04001875	
0.0352	-0.04765239	-0.05996676	-0.04764098	-0.04001801	
0.0354	-0.04765143	-0.05996675	-0.04763999	-0.0400173	
0.0356	-0.04765052	-0.05996675	-0.04763904	-0.04001662	
0.0358	-0.04764963	-0.05996675	-0.04763813	-0.04001597	
0.036	-0.04764879	-0.05996675	-0.04763725	-0.04001534	
0.0362	-0.04764798	-0.05996675	-0.04763641	-0.04001473	
0.0364	-0.0476472	-0.05996675	-0.0476356	-0.04001415	
0.0366	-0.04764645	-0.05996675	-0.04763482	-0.04001359	
0.0368	-0.04764573	-0.05996675	-0.04763407	-0.04001306	
0.037	-0.04764504	-0.05996675	-0.04763335	-0.04001254	
0.0372	-0.04764438	-0.05996675	-0.04763266	-0.04001205	
0.0374	-0.04764375	-0.05996675	-0.04763199	-0.04001157	
0.0376	-0.04764314	-0.05996675	-0.04763135	-0.04001112	
0.0378	-0.04764256	-0.05996676	-0.04763073	-0.04001068	
0.038	-0.04764199	-0.05996676	-0.04763013	-0.04001026	
0.0382	-0.04764146	-0.05996676	-0.04762957	-0.04000986	
0.0384	-0.04764094	-0.05996676	-0.04762901	-0.04000947	
0.0386	-0.04764045	-0.05996677	-0.04762848	-0.0400091	
0.0388	-0.04763997	-0.05996677	-0.04762797	-0.04000874	
0.039	-0.04763952	-0.05996677	-0.04762749	-0.04000839	
0.0392	-0.04763908	-0.05996677	-0.04762701	-0.04000806	
0.0394	-0.04763866	-0.05996678	-0.04762656	-0.04000775	
0.0396	-0.04763826	-0.05996678	-0.04762612	-0.04000744	
0.0398	-0.04763788	-0.05996678	-0.0476257	-0.04000715	
0.04	-0.04763751	-0.05996678	-0.0476253	-0.04000687	
