Time	Back_Left_Ankle	Back_Left_Hip_Joint	Back_Left_Knee_Joint	
0	0	0	0	
0.0006	0	0	0	
0.0012	5.715064E-16	1.778981E-18	3.331988E-18	
0.0018	1.825436E-10	2.359839E-10	-1.044781E-10	
0.0024	8.939765E-06	8.004306E-07	-2.764655E-06	
0.003	1.14663E-05	8.440573E-07	-3.288319E-06	
0.0036	1.388083E-05	9.921507E-07	-3.425652E-06	
0.0042	1.637824E-05	1.256113E-06	-3.511861E-06	
0.0048	1.919249E-05	1.75637E-06	-3.714613E-06	
0.0054	2.289361E-05	2.771054E-06	-4.281041E-06	
0.006	2.824598E-05	4.717493E-06	-5.482753E-06	
0.0066	3.60227E-05	8.128467E-06	-7.515794E-06	
0.0072	4.682357E-05	1.363623E-05	-1.043286E-05	
0.0078	6.109279E-05	2.193252E-05	-1.418369E-05	
0.0084	7.912615E-05	3.371002E-05	-1.86476E-05	
0.009	0.0001010573	4.963248E-05	-2.364548E-05	
0.0096	0.0001268904	7.03247E-05	-2.897073E-05	
0.0102	0.0001565369	9.636925E-05	-3.441537E-05	
0.0108	0.0001898485	0.0001283059	-3.978764E-05	
0.0114	0.0002266403	0.0001666323	-4.492177E-05	
0.012	0.0002667085	0.0002118048	-4.968161E-05	
0.0126	0.0003098424	0.0002642398	-5.396113E-05	
0.0132	0.0003558324	0.000324316	-5.768244E-05	
0.0138	0.0004114153	0.0003841234	-4.815768E-05	
0.0144	0.0004793392	0.000441633	-2.007616E-05	
0.015	0.0005554194	0.0005018457	2.130507E-05	
0.0156	0.0006462293	0.0005802268	-1.414641E-05	
0.0162	0.0007196967	0.0006644444	-3.66901E-05	
0.0168	0.0007926667	0.0007576608	-5.300347E-05	
0.0174	0.0008684273	0.0008586575	-6.147187E-05	
0.018	0.0009651629	0.0009462856	-2.959725E-05	
0.0186	0.001073983	0.00103427	2.730902E-05	
0.0192	0.001199987	0.001146951	-2.144028E-05	
0.0198	0.001299417	0.001266319	-5.080003E-05	
0.0204	0.001395733	0.001396769	-7.082541E-05	
0.021	0.001508264	0.001519028	-5.304406E-05	
0.0216	0.001642881	0.001630489	1.119786E-05	
0.0222	0.001798866	0.001769651	-4.933418E-05	
0.0228	0.001921859	0.001914603	-8.165376E-05	
0.0234	0.002039007	0.002072953	-0.0001022068	
0.024	0.002174655	0.002220381	-7.567063E-05	
0.0246	0.002335936	0.002353728	8.385758E-06	
0.0252	0.002518258	0.002522974	-6.139027E-05	
0.0258	0.002660743	0.002697793	-9.695789E-05	
0.0264	0.002795286	0.002887618	-0.0001187227	
0.027	0.002966137	0.003045379	-5.712261E-05	
0.0276	0.003155652	0.003198823	5.578563E-05	
0.0282	0.003362034	0.003400374	-2.165002E-05	
0.0288	0.003519082	0.003611192	-6.71818E-05	
0.0294	0.003692371	0.003807624	-5.116197E-05	
0.03	0.003899911	0.003980686	4.600212E-05	
0.0306	0.004134608	0.004195377	-4.448766E-05	
0.0312	0.004314644	0.004419537	-9.565445E-05	
0.0318	0.00448361	0.004661251	-0.0001278022	
0.0324	0.004698383	0.004859901	-5.144832E-05	
0.033	0.004935285	0.005051933	9.057162E-05	
0.0336	0.005189172	0.005304677	-4.022429E-06	
0.0342	0.005379654	0.005569793	-6.227139E-05	
0.0348	0.005613182	0.005780751	9.72021E-06	
0.0354	0.005901318	0.006023192	-0.0001049155	
0.036	0.006111198	0.006267307	-0.0001568385	
0.0366	0.006321825	0.006501885	-0.0001418148	
0.0372	0.006569646	0.006699676	-1.249638E-05	
0.0378	0.006816934	0.006895463	0.0001804256	
0.0384	0.007114	0.007180353	6.793802E-05	
0.039	0.007474957	0.007405779	-8.853098E-05	
0.0396	0.007709054	0.007627396	-0.0001604464	
0.0402	0.007912889	0.007862964	-0.0001940304	
0.0408	0.008154651	0.00805507	-0.0001017011	
0.0414	0.008393641	0.008243147	6.189961E-05	
0.042	0.008743996	0.008517137	-8.08996E-05	
0.0426	0.008994188	0.008722337	-4.601969E-05	
0.0432	0.009230839	0.00890802	8.831139E-05	
0.0438	0.009611134	0.00917159	-7.222013E-05	
0.0444	0.0098568	0.009373304	-6.159209E-05	
0.045	0.01008758	0.00955369	5.325304E-05	
0.0456	0.0104956	0.009808578	-0.0001235333	
0.0462	0.01072043	0.01002642	-0.0001614583	
0.0468	0.01094284	0.01019923	-5.97962E-05	
0.0474	0.01115475	0.01036304	0.0001276961	
0.048	0.01157211	0.01063638	-5.104095E-05	
0.0486	0.01181412	0.01082481	-1.193841E-05	
0.0492	0.01202112	0.01098399	0.000149017	
0.0498	0.01246316	0.01124084	-4.5594E-05	
0.0504	0.01269531	0.0114205	-3.003761E-05	
0.051	0.01289027	0.0115691	0.0001118378	
0.0516	0.013355	0.01180871	-9.769879E-05	
0.0522	0.01357664	0.01197984	-0.0001064657	
0.0528	0.01375668	0.01211498	2.079467E-05	
0.0534	0.01423737	0.01234046	-0.0001995748	
0.054	0.01443889	0.01251427	-0.0002397864	
0.0546	0.0146039	0.01263576	-0.000118841	
0.0552	0.01474865	0.01273902	0.0001106948	
0.0558	0.01521874	0.01298461	-0.0001006653	
0.0564	0.01541897	0.0131354	-6.160151E-05	
0.057	0.01556066	0.0132348	0.0001441285	
0.0576	0.0160462	0.01346986	-7.720716E-05	
0.0582	0.01623406	0.01360928	-4.288079E-05	
0.0588	0.01635551	0.01368866	0.0001737877	
0.0594	0.01685119	0.01391475	-5.44079E-05	
0.06	0.01702668	0.0140428	-1.954486E-05	
0.0606	0.0171255	0.01409637	0.0002232852	
0.0612	0.01762875	0.01431527	-1.010017E-05	
0.0618	0.01778963	0.01442909	3.44263E-05	
0.0624	0.01833677	0.01461525	-0.0002278704	
0.063	0.01848577	0.0147175	-0.0002414882	
0.0636	0.01856682	0.01467183	7.864849E-05	
0.0642	0.01909546	0.01485037	-0.0001748443	
0.0648	0.01922488	0.01493227	-0.0001569283	
0.0654	0.01930812	0.01480513	0.0003007795	
0.066	0.019834	0.01498096	4.838588E-05	
0.06659999	0.02048109	0.01511797	-0.000275608	
0.0672	0.02062884	0.01514495	-0.000295024	
0.0678	0.02071509	0.0149064	0.0002286558	
0.0684	0.02127323	0.0150273	-4.989627E-05	
0.069	0.02136278	0.01502406	-5.897122E-07	
0.0696	0.02145094	0.01467243	0.000726024	
0.0702	0.0219987	0.01479386	0.0004532105	
0.0708	0.0226876	0.01489039	0.000100302	
0.0714	0.02341932	0.0149457	-0.000282385	
0.072	0.02353297	0.01485332	-0.0002835241	
0.0726	0.02362466	0.01434034	0.0005181521	
0.07319999	0.02422305	0.01437263	0.0002037978	
0.0738	0.02497024	0.01439519	-0.0001923377	
0.0744	0.02506661	0.01424087	-0.0001473284	
0.075	0.02516088	0.01358578	0.0008304324	
0.0756	0.02576972	0.01358577	0.0005053318	
