Time	(25) S1	(26) S2	(27) S3	(28) S4	
0	-0.06	-0.06	-0.06	-0.06	
0.0002	-0.06	-0.06	-0.06	-0.06	
0.0004	-0.06	-0.06	-0.06	-0.06	
0.0006	-0.06	-0.06	-0.06	-0.06	
0.0008	-0.06	-0.06	-0.06	-0.06	
0.0009999999	-0.06	-0.06	-0.06	-0.06	
0.0012	-0.06	-0.06	-0.06	-0.06	
0.0014	-0.06	-0.06	-0.06	-0.06	
0.0016	-0.06	-0.06	-0.06	-0.06	
0.0018	-0.06	-0.06	-0.06	-0.06	
0.002	-0.06	-0.06	-0.06	-0.06	
0.0022	-0.06	-0.06	-0.06	-0.06	
0.0024	-0.06	-0.06	-0.06	-0.06	
0.0026	-0.06	-0.06	-0.06	-0.06	
0.0028	-0.06	-0.06	-0.06	-0.06	
0.003	-0.06	-0.06	-0.06	-0.06	
0.0032	-0.06	-0.06	-0.06	-0.06	
0.0034	-0.06	-0.06	-0.06	-0.06	
0.0036	-0.06	-0.06	-0.06	-0.06	
0.0038	-0.06	-0.06	-0.06	-0.06	
0.004	-0.06	-0.06	-0.06	-0.06	
0.0042	-0.06	-0.06	-0.06	-0.06	
0.0044	-0.06	-0.06	-0.06	-0.06	
0.0046	-0.06	-0.06	-0.06	-0.06	
0.0048	-0.06	-0.06	-0.06	-0.06	
0.005	-0.06	-0.06	-0.06	-0.06	
0.0052	-0.06	-0.06	-0.06	-0.06	
0.0054	-0.06	-0.06	-0.06	-0.06	
0.0056	-0.06	-0.06	-0.06	-0.06	
0.0058	-0.06	-0.06	-0.06	-0.06	
0.006	-0.06	-0.06	-0.06	-0.06	
0.0062	-0.06	-0.06	-0.06	-0.06	
0.0064	-0.06	-0.06	-0.06	-0.06	
0.0066	-0.06	-0.06	-0.06	-0.06	
0.0068	-0.06	-0.06	-0.06	-0.06	
0.007	-0.06	-0.06	-0.06	-0.06	
0.0072	-0.06	-0.06	-0.06	-0.06	
0.0074	-0.06	-0.06	-0.06	-0.06	
0.0076	-0.06	-0.06	-0.06	-0.06	
0.0078	-0.06	-0.06	-0.06	-0.06	
0.007999999	-0.06	-0.06	-0.06	-0.06	
0.0082	-0.06	-0.06	-0.06	-0.06	
0.0084	-0.06	-0.06	-0.06	-0.06	
0.008599999	-0.06	-0.06	-0.06	-0.06	
0.0088	-0.06	-0.06	-0.06	-0.06	
0.009	-0.06	-0.06	-0.06	-0.06	
0.0092	-0.06	-0.06	-0.06	-0.06	
0.0094	-0.06	-0.06	-0.06	-0.06	
0.0096	-0.06	-0.06	-0.06	-0.06	
0.0098	-0.06	-0.06	-0.06	-0.06	
0.01	-0.06	-0.06	-0.06	-0.06	
0.0102	-0.06	-0.06	-0.06	-0.06	
0.0104	-0.06	-0.06	-0.06	-0.06	
0.0106	-0.06	-0.06	-0.06	-0.06	
0.0108	-0.06	-0.06	-0.06	-0.06	
0.011	-0.06	-0.06	-0.06	-0.06	
0.0112	-0.06	-0.06	-0.06	-0.06	
0.0114	-0.06	-0.06	-0.06	-0.06	
0.0116	-0.06	-0.06	-0.06	-0.06	
0.0118	-0.06	-0.06	-0.06	-0.06	
0.012	-0.06	-0.06	-0.06	-0.06	
0.0122	-0.06	-0.06	-0.06	-0.06	
0.0124	-0.06	-0.06	-0.06	-0.06	
0.0126	-0.06	-0.06	-0.06	-0.06	
0.0128	-0.06	-0.06	-0.06	-0.06	
0.013	-0.06	-0.06	-0.06	-0.06	
0.0132	-0.06	-0.06	-0.06	-0.06	
0.0134	-0.06	-0.06	-0.06	-0.06	
0.0136	-0.06	-0.06	-0.06	-0.06	
0.0138	-0.06	-0.06	-0.06	-0.06	
0.014	-0.06	-0.06	-0.06	-0.06	
0.0142	-0.06	-0.06	-0.06	-0.06	
0.0144	-0.06	-0.06	-0.06	-0.06	
0.0146	-0.06	-0.06	-0.06	-0.06	
0.0148	-0.06	-0.06	-0.06	-0.06	
0.015	-0.06	-0.06	-0.06	-0.06	
0.0152	-0.06	-0.06	-0.06	-0.06	
0.0154	-0.06	-0.06	-0.06	-0.06	
0.0156	-0.06	-0.06	-0.06	-0.06	
0.0158	-0.06	-0.06	-0.06	-0.06	
0.016	-0.06	-0.06	-0.06	-0.06	
0.0162	-0.06	-0.06	-0.06	-0.06	
0.0164	-0.06	-0.06	-0.06	-0.06	
0.0166	-0.06	-0.06	-0.06	-0.06	
0.0168	-0.06	-0.06	-0.06	-0.06	
0.017	-0.06	-0.06	-0.06	-0.06	
0.0172	-0.06	-0.06	-0.06	-0.06	
0.0174	-0.06	-0.06	-0.06	-0.06	
0.0176	-0.06	-0.06	-0.06	-0.06	
0.0178	-0.06	-0.06	-0.06	-0.06	
0.018	-0.06	-0.06	-0.06	-0.06	
0.0182	-0.06	-0.06	-0.06	-0.06	
0.0184	-0.06	-0.06	-0.06	-0.06	
0.0186	-0.06	-0.06	-0.06	-0.06	
0.0188	-0.06	-0.06	-0.06	-0.06	
0.019	-0.06	-0.06	-0.06	-0.06	
0.0192	-0.06	-0.06	-0.06	-0.06	
0.0194	-0.06	-0.06	-0.06	-0.05995857	
0.0196	-0.06	-0.06	-0.06	-0.05985466	
0.0198	-0.06	-0.06	-0.06	-0.05969401	
0.02	-0.06	-0.06	-0.06	-0.05948222	
0.0202	-0.06	-0.06	-0.06	-0.05922472	
0.0204	-0.06	-0.06	-0.06	-0.0589267	
0.0206	-0.06	-0.06	-0.06	-0.05859314	
0.0208	-0.06	-0.06	-0.06	-0.05822876	
0.021	-0.06	-0.06	-0.06	-0.05783799	
0.0212	-0.06	-0.06	-0.06	-0.05742498	
0.0214	-0.06	-0.06	-0.06	-0.05699362	
0.0216	-0.06	-0.06	-0.06	-0.05654749	
0.0218	-0.06	-0.06	-0.06	-0.05608991	
0.022	-0.06	-0.06	-0.06	-0.05562389	
0.0222	-0.06	-0.06	-0.06	-0.05515221	
0.0224	-0.06	-0.06	-0.06	-0.05467735	
0.0226	-0.06	-0.06	-0.06	-0.05420159	
0.0228	-0.06	-0.06	-0.06	-0.05372693	
0.023	-0.06	-0.06	-0.06	-0.05325517	
0.0232	-0.06	-0.06	-0.06	-0.05278791	
0.0234	-0.06	-0.06	-0.06	-0.05232653	
0.0236	-0.06	-0.06	-0.06	-0.05187223	
0.0238	-0.06	-0.06	-0.06	-0.05142607	
0.024	-0.06	-0.06	-0.06	-0.05098892	
0.0242	-0.06	-0.06	-0.06	-0.05056153	
0.0244	-0.06	-0.06	-0.06	-0.0501445	
0.0246	-0.06	-0.06	-0.06	-0.04973833	
0.0248	-0.06	-0.06	-0.06	-0.04934341	
0.025	-0.06	-0.06	-0.06	-0.04896002	
0.0252	-0.06	-0.06	-0.06	-0.04858836	
0.0254	-0.06	-0.06	-0.06	-0.04822855	
0.0256	-0.06	-0.06	-0.06	-0.04788066	
0.0258	-0.06	-0.06	-0.06	-0.04754468	
0.026	-0.06	-0.06	-0.06	-0.04722054	
0.0262	-0.06	-0.06	-0.06	-0.04690813	
0.0264	-0.06	-0.06	-0.06	-0.04660732	
0.0266	-0.06	-0.06	-0.06	-0.04631792	
0.0268	-0.06	-0.06	-0.06	-0.04603973	
0.027	-0.06	-0.06	-0.06	-0.04577249	
0.0272	-0.06	-0.06	-0.06	-0.04551597	
0.0274	-0.06	-0.06	-0.06	-0.04526989	
0.0276	-0.06	-0.06	-0.06	-0.04503396	
0.0278	-0.06	-0.06	-0.06	-0.0448079	
0.028	-0.06	-0.06	-0.06	-0.04459139	
0.0282	-0.06	-0.06	-0.06	-0.04438413	
0.0284	-0.06	-0.06	-0.06	-0.04418582	
0.0286	-0.06	-0.06	-0.06	-0.04399614	
0.0288	-0.06	-0.06	-0.06	-0.04381479	
0.029	-0.06	-0.06	-0.06	-0.04364145	
0.0292	-0.06	-0.06	-0.06	-0.04347583	
0.0294	-0.06	-0.06	-0.06	-0.04331762	
0.0296	-0.06	-0.06	-0.06	-0.04316654	
0.0298	-0.06	-0.06	-0.06	-0.0430223	
0.03	-0.06	-0.06	-0.06	-0.04288461	
0.0302	-0.06	-0.06	-0.06	-0.04275321	
0.0304	-0.06	-0.06	-0.06	-0.04262782	
0.0306	-0.06	-0.06	-0.06	-0.0425082	
0.0308	-0.06	-0.06	-0.06	-0.04239408	
0.031	-0.06	-0.06	-0.06	-0.04228524	
0.0312	-0.06	-0.06	-0.06	-0.04218143	
0.0314	-0.06	-0.06	-0.06	-0.04208243	
0.0316	-0.06	-0.06	-0.06	-0.04198803	
0.0318	-0.06	-0.06	-0.06	-0.04189802	
0.032	-0.06	-0.06	-0.06	-0.04181219	
0.0322	-0.06	-0.06	-0.06	-0.04173036	
0.0324	-0.06	-0.06	-0.06	-0.04165234	
0.0326	-0.06	-0.06	-0.06	-0.04157795	
0.0328	-0.06	-0.06	-0.06	-0.04150702	
0.033	-0.06	-0.06	-0.06	-0.0414394	
0.0332	-0.06	-0.06	-0.06	-0.04137493	
0.0334	-0.06	-0.06	-0.06	-0.04131345	
0.0336	-0.06	-0.06	-0.06	-0.04125483	
0.0338	-0.06	-0.06	-0.06	-0.04119894	
0.034	-0.06	-0.06	-0.06	-0.04114563	
0.0342	-0.06	-0.06	-0.06	-0.0410948	
0.0344	-0.06	-0.06	-0.06	-0.04104632	
0.0346	-0.06	-0.06	-0.06	-0.04100008	
0.0348	-0.06	-0.06	-0.06	-0.04095597	
0.035	-0.06	-0.06	-0.06	-0.04091389	
0.0352	-0.06	-0.06	-0.06	-0.04087376	
0.0354	-0.06	-0.06	-0.06	-0.04083546	
0.0356	-0.06	-0.06	-0.06	-0.04079892	
0.0358	-0.06	-0.06	-0.06	-0.04076405	
0.036	-0.06	-0.06	-0.06	-0.04073077	
0.0362	-0.06	-0.06	-0.06	-0.04069901	
0.0364	-0.06	-0.06	-0.06	-0.04066869	
0.0366	-0.06	-0.06	-0.06	-0.04063975	
0.0368	-0.06	-0.06	-0.06	-0.04061212	
0.037	-0.06	-0.06	-0.06	-0.04058573	
0.0372	-0.06	-0.06	-0.06	-0.04056054	
0.0374	-0.06	-0.06	-0.06	-0.04053648	
0.0376	-0.06	-0.06	-0.06	-0.04051349	
0.0378	-0.06	-0.06	-0.06	-0.04049154	
0.038	-0.06	-0.06	-0.06	-0.04047057	
0.0382	-0.06	-0.06	-0.06	-0.04045053	
0.0384	-0.06	-0.06	-0.06	-0.04043138	
0.0386	-0.06	-0.06	-0.06	-0.04041308	
0.0388	-0.06	-0.06	-0.06	-0.04039559	
0.039	-0.06	-0.06	-0.06	-0.04037887	
0.0392	-0.06	-0.06	-0.06	-0.04036289	
0.0394	-0.06	-0.06	-0.06	-0.04034761	
0.0396	-0.06	-0.06	-0.06	-0.040333	
0.0398	-0.06	-0.06	-0.06	-0.04031902	
0.04	-0.06	-0.06	-0.06	-0.04030566	
0.0402	-0.06	-0.06	-0.06	-0.04029288	
0.0404	-0.06	-0.06	-0.06	-0.04028065	
0.0406	-0.06	-0.06	-0.06	-0.04026895	
0.0408	-0.06	-0.06	-0.06	-0.04025776	
0.041	-0.06	-0.06	-0.06	-0.04024705	
0.0412	-0.06	-0.06	-0.06	-0.04023681	
0.0414	-0.06	-0.06	-0.06	-0.040227	
0.0416	-0.06	-0.06	-0.06	-0.04021761	
0.0418	-0.06	-0.06	-0.06	-0.04020863	
0.042	-0.06	-0.06	-0.06	-0.04020002	
0.0422	-0.06	-0.06	-0.06	-0.04019178	
0.0424	-0.06	-0.06	-0.06	-0.0401839	
0.0426	-0.06	-0.06	-0.06	-0.04017635	
0.0428	-0.06	-0.06	-0.06	-0.04016911	
0.043	-0.06	-0.06	-0.06	-0.04016219	
0.0432	-0.06	-0.06	-0.06	-0.04015555	
0.0434	-0.06	-0.06	-0.06	-0.04014919	
0.0436	-0.06	-0.06	-0.06	-0.04014311	
0.0438	-0.06	-0.06	-0.06	-0.04013727	
0.044	-0.06	-0.06	-0.06	-0.04013168	
0.0442	-0.06	-0.06	-0.06	-0.04012632	
0.0444	-0.06	-0.06	-0.06	-0.04012119	
0.0446	-0.06	-0.06	-0.06	-0.04011627	
0.0448	-0.06	-0.06	-0.06	-0.04011156	
0.045	-0.06	-0.06	-0.06	-0.04010704	
0.0452	-0.06	-0.06	-0.06	-0.04010271	
0.0454	-0.06	-0.06	-0.06	-0.04009856	
0.0456	-0.06	-0.06	-0.06	-0.04009458	
0.0458	-0.06	-0.06	-0.06	-0.04009076	
0.046	-0.06	-0.06	-0.06	-0.0400871	
0.0462	-0.06	-0.06	-0.06	-0.04008359	
0.0464	-0.06	-0.06	-0.06	-0.04008023	
0.0466	-0.06	-0.06	-0.06	-0.040077	
0.0468	-0.06	-0.06	-0.06	-0.04007391	
0.047	-0.06	-0.06	-0.06	-0.04007094	
0.0472	-0.06	-0.06	-0.06	-0.04006809	
0.0474	-0.06	-0.06	-0.06	-0.04006536	
0.0476	-0.06	-0.06	-0.06	-0.04006274	
0.0478	-0.06	-0.06	-0.06	-0.04006023	
0.048	-0.06	-0.06	-0.06	-0.04005782	
0.0482	-0.06	-0.06	-0.06	-0.04005551	
0.0484	-0.06	-0.06	-0.06	-0.04005329	
0.0486	-0.06	-0.06	-0.06	-0.04005116	
0.0488	-0.06	-0.06	-0.06	-0.04004912	
0.049	-0.06	-0.06	-0.06	-0.04004716	
0.0492	-0.06	-0.06	-0.06	-0.04004528	
0.0494	-0.06	-0.06	-0.06	-0.04004347	
0.0496	-0.06	-0.06	-0.06	-0.04004174	
0.0498	-0.06	-0.06	-0.06	-0.04004008	
0.05	-0.06	-0.06	-0.06	-0.04003849	
