Time	Back_Left_Ankle	Back_Left_Hip_Joint	Back_Left_Knee_Joint	
0	0	0	0	
0.0006	0	0	0	
0.0012	5.715064E-16	1.778981E-18	3.331988E-18	
0.0018	3.870234E-10	2.745691E-10	-9.270766E-11	
0.0024	8.939999E-06	8.00475E-07	-2.764652E-06	
0.003	1.146653E-05	8.441025E-07	-3.288318E-06	
0.0036	1.388107E-05	9.921961E-07	-3.425651E-06	
0.0042	1.637847E-05	1.256159E-06	-3.511861E-06	
0.0048	1.919272E-05	1.756416E-06	-3.714612E-06	
0.0054	2.289384E-05	2.771101E-06	-4.28104E-06	
0.006	2.824621E-05	4.717541E-06	-5.482751E-06	
0.0066	3.602294E-05	8.128515E-06	-7.515792E-06	
0.0072	4.68238E-05	1.363628E-05	-1.043286E-05	
0.0078	6.109301E-05	2.193257E-05	-1.418369E-05	
0.0084	7.912637E-05	3.371007E-05	-1.86476E-05	
0.009	0.0001010575	4.963253E-05	-2.364548E-05	
0.0096	0.0001268906	7.032475E-05	-2.897073E-05	
0.0102	0.0001565372	9.63693E-05	-3.441536E-05	
0.0108	0.0001898487	0.000128306	-3.978764E-05	
0.0114	0.0002266405	0.0001666324	-4.492176E-05	
0.012	0.0002667088	0.0002118048	-4.96816E-05	
0.0126	0.0003098427	0.0002642399	-5.396112E-05	
0.0132	0.0003558326	0.0003243161	-5.768244E-05	
0.0138	0.0004114155	0.0003841234	-4.815767E-05	
0.0144	0.0004793394	0.0004416331	-2.007615E-05	
0.015	0.0005554196	0.0005018458	2.130508E-05	
0.0156	0.0006462295	0.0005802268	-1.41464E-05	
0.0162	0.0007196969	0.0006644445	-3.669009E-05	
0.0168	0.000792667	0.0007576608	-5.300347E-05	
0.0174	0.0008684276	0.0008586576	-6.147185E-05	
0.018	0.0009651632	0.0009462856	-2.959723E-05	
0.0186	0.001073984	0.00103427	2.730904E-05	
0.0192	0.001199987	0.001146951	-2.144026E-05	
0.0198	0.001299417	0.00126632	-5.080001E-05	
0.0204	0.001395733	0.001396769	-7.082539E-05	
0.021	0.001508264	0.001519028	-5.304404E-05	
0.0216	0.001642881	0.001630489	1.119787E-05	
0.0222	0.001798866	0.001769651	-4.933416E-05	
0.0228	0.001921859	0.001914603	-8.165371E-05	
0.0234	0.002039007	0.002072952	-0.0001022064	
0.024	0.002174661	0.002220367	-7.565086E-05	
0.0246	0.002335937	0.002353704	8.42385E-06	
0.0252	0.002518236	0.002522934	-6.134265E-05	
0.0258	0.002660661	0.002697723	-9.689241E-05	
0.0264	0.002795088	0.002887485	-0.000118618	
0.027	0.002965995	0.003044884	-5.650208E-05	
0.0276	0.003155309	0.003197967	5.69175E-05	
0.0282	0.003361283	0.003399182	-2.035249E-05	
0.0288	0.00351761	0.003609612	-6.581926E-05	
0.0294	0.00369253	0.003802432	-4.502499E-05	
0.03	0.003899432	0.003974132	5.392488E-05	
0.0306	0.00413297	0.00418771	-3.612177E-05	
0.0312	0.004310965	0.004411122	-8.798601E-05	
0.0318	0.004477767	0.004651622	-0.0001207018	
0.0324	0.004692183	0.004847021	-4.153627E-05	
0.033	0.004927028	0.005036145	0.000102357	
0.0336	0.005178902	0.005285763	8.341131E-06	
0.0342	0.005484444	0.005481182	-0.0001232916	
0.0348	0.005718251	0.00568446	-0.0001909907	
0.0354	0.005928977	0.005909106	-0.0002292968	
0.036	0.006123551	0.006156417	-0.0002475935	
0.0366	0.006356061	0.006364038	-0.0001556983	
0.0372	0.006603519	0.006560246	1.545929E-05	
0.0378	0.006894509	0.006832258	-9.586387E-05	
0.0384	0.007115467	0.007071713	-9.649531E-05	
0.039	0.00736435	0.007269224	2.780796E-05	
0.0396	0.00768851	0.007526034	-0.0001037617	
0.0402	0.007900978	0.007776204	-0.000156372	
0.0408	0.008145815	0.007971993	-6.627524E-05	
0.0414	0.008386643	0.008161752	9.804446E-05	
0.042	0.008728228	0.008431811	-4.067824E-05	
0.0426	0.008977484	0.008637635	-1.038326E-05	
0.0432	0.009215408	0.008824566	0.0001177728	
0.0438	0.00958751	0.009080094	-3.965766E-05	
0.0444	0.009825941	0.00928814	-4.98804E-05	
0.045	0.01005841	0.009470153	5.004388E-05	
0.0456	0.01045894	0.009712708	-0.0001247197	
0.0462	0.0106801	0.009932999	-0.0001827521	
0.0468	0.0109062	0.01010929	-0.0001054658	
0.0474	0.01112334	0.01027787	5.477747E-05	
0.048	0.01153521	0.01053714	-0.0001232929	
0.0486	0.01177436	0.0107307	-0.0001162677	
0.0492	0.01198782	0.01089563	1.099146E-05	
0.0498	0.01242804	0.01114064	-0.0001845734	
0.0504	0.01264303	0.01134672	-0.000229707	
0.051	0.01284721	0.01150336	-0.0001250112	
0.0516	0.01303996	0.01165023	7.023391E-05	
0.0522	0.01348894	0.01191069	-0.0001274557	
0.0528	0.01371858	0.01208785	-0.0001025294	
0.0534	0.01390846	0.01223166	5.42925E-05	
0.054	0.01437688	0.01247618	-0.0001564013	
0.0546	0.01459761	0.01264557	-0.0001537523	
0.0552	0.01477362	0.01277678	-1.006468E-05	
0.0558	0.0149327	0.01289319	0.0002359555	
0.0564	0.01539248	0.01315561	3.286547E-05	
0.057	0.01594973	0.01335648	-0.0002326953	
0.0576	0.01617526	0.01349278	-0.0002852993	
0.0582	0.01632488	0.01359966	-0.0002092307	
0.0588	0.01645284	0.01368643	-2.144248E-05	
0.0594	0.01656797	0.01376028	0.000267498	
0.06	0.01704171	0.01401143	5.515889E-05	
0.0606	0.01761965	0.01420593	-0.0002224829	
0.0612	0.01782518	0.01432717	-0.000268854	
0.0618	0.017942	0.01440091	-0.0001534569	
0.0624	0.01802639	0.01443587	0.0001074374	
0.063	0.01853192	0.01464869	-0.0001281251	
0.0636	0.01870338	0.01477245	-0.0001126967	
0.0642	0.0187978	0.01481855	0.0001167099	
0.0648	0.019315	0.01502923	-0.0001254435	
0.0654	0.01947624	0.01514277	-0.0001005288	
0.066	0.01955696	0.01515269	0.0001836621	
0.06659999	0.02007697	0.01535991	-6.051736E-05	
0.0672	0.02022692	0.01546226	-2.279749E-05	
0.0678	0.02030949	0.01541421	0.0003550828	
0.0684	0.02082998	0.01561804	0.00011015	
0.069	0.02146547	0.01577838	-0.0002038001	
0.0696	0.02162821	0.0158432	-0.0002397717	
0.0702	0.02171323	0.01571157	0.0001461898	
0.0708	0.0222713	0.01585755	-0.0001282413	
0.0714	0.02238278	0.01591719	-0.0001429432	
0.072	0.02246933	0.01571728	0.0003679282	
0.0726	0.02302204	0.01586523	9.675316E-05	
0.07319999	0.02370036	0.01598186	-0.0002471972	
0.0738	0.02385019	0.01598467	-0.000276837	
0.0744	0.02393909	0.01570487	0.0002678657	
0.075	0.02451986	0.01580794	-2.558397E-05	
0.0756	0.02461176	0.01579054	5.913244E-06	
0.0762	0.02524658	0.01588219	-0.0003184801	
