Time	(15) Hip Ext II	(16) Hip Flx II	(17) Knee Ext II	(18) Knee Flx II	(19) Ankle Ext II	(20) Ankle Flx II	
0	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06	
0.0002	-0.05964877	-0.05964837	-0.05999934	-0.05921579	-0.05999978	-0.05921579	
0.0004	-0.0593113	-0.05931053	-0.05999871	-0.05846233	-0.05999956	-0.05846233	
0.0006	-0.05898707	-0.05898594	-0.05999811	-0.05773841	-0.05999936	-0.05773841	
0.0008	-0.05867556	-0.05867407	-0.05999752	-0.05704287	-0.05999916	-0.05704287	
0.0009999999	-0.05837626	-0.05837444	-0.05999696	-0.05637462	-0.05999897	-0.05637462	
0.0012	-0.05808869	-0.05808655	-0.05999643	-0.05573256	-0.05999878	-0.05573256	
0.0014	-0.0578124	-0.05780995	-0.05999591	-0.05511567	-0.05999861	-0.05511567	
0.0016	-0.05754694	-0.0575442	-0.05999541	-0.05452298	-0.05999844	-0.05452298	
0.0018	-0.05729195	-0.05728881	-0.05999479	-0.05395353	-0.05999827	-0.05395353	
0.002	-0.05704696	-0.05704343	-0.05999419	-0.0534064	-0.05999812	-0.0534064	
0.0022	-0.05681157	-0.05680768	-0.05999362	-0.05288073	-0.05999796	-0.05288073	
0.0024	-0.05658541	-0.05658117	-0.05999322	-0.05237567	-0.05999782	-0.05237567	
0.0026	-0.05636811	-0.05636355	-0.05999284	-0.05189041	-0.05999769	-0.05189041	
0.0028	-0.05615934	-0.05615446	-0.05999248	-0.05142418	-0.05999755	-0.05142418	
0.003	-0.05595874	-0.05595358	-0.05999212	-0.05097623	-0.05999742	-0.05097623	
0.0032	-0.05576601	-0.05576057	-0.05999179	-0.05054585	-0.0599973	-0.05054585	
0.0034	-0.05558084	-0.05557513	-0.05999146	-0.05013234	-0.05999718	-0.05013234	
0.0036	-0.05540292	-0.05539697	-0.05999115	-0.04973505	-0.05999706	-0.04973505	
0.0038	-0.05523198	-0.05522579	-0.05999085	-0.04935333	-0.05999696	-0.04935333	
0.004	-0.05506774	-0.05506133	-0.05999056	-0.04898658	-0.05999685	-0.04898658	
0.0042	-0.05490993	-0.05490332	-0.05999027	-0.04863421	-0.05999675	-0.04863421	
0.0044	-0.05475831	-0.0547515	-0.05999	-0.04829566	-0.05999665	-0.04829566	
0.0046	-0.05461264	-0.05460564	-0.05998973	-0.04797038	-0.05999655	-0.04797038	
0.0048	-0.05447268	-0.05446551	-0.05998948	-0.04765786	-0.05999647	-0.04765786	
0.005	-0.0543382	-0.05433086	-0.05998923	-0.04735759	-0.05999638	-0.04735759	
0.0052	-0.054209	-0.0542015	-0.059989	-0.0470691	-0.0599963	-0.0470691	
0.0054	-0.05408486	-0.05407721	-0.05998877	-0.04679191	-0.05999622	-0.04679191	
0.0056	-0.05396558	-0.05395779	-0.05998855	-0.0465256	-0.05999614	-0.0465256	
0.0058	-0.05385099	-0.05384306	-0.05998833	-0.04626972	-0.05999606	-0.04626972	
0.006	-0.05374088	-0.05373283	-0.05998813	-0.04602388	-0.05999599	-0.04602388	
0.0062	-0.05363509	-0.05362692	-0.05998793	-0.04578768	-0.05999593	-0.04578768	
0.0064	-0.05353345	-0.05352517	-0.05998774	-0.04556075	-0.05999586	-0.04556075	
0.0066	-0.0534358	-0.05342741	-0.05998756	-0.04534271	-0.0599958	-0.04534271	
0.0068	-0.05334197	-0.05333348	-0.05998738	-0.04513321	-0.05999574	-0.04513321	
0.007	-0.05325182	-0.05324323	-0.05998721	-0.04493194	-0.05999568	-0.04493194	
0.0072	-0.0531652	-0.05315652	-0.05998705	-0.04473856	-0.05999562	-0.04473856	
0.0074	-0.05308199	-0.05307321	-0.05998689	-0.04455275	-0.05999557	-0.04455275	
0.0076	-0.05300203	-0.05299317	-0.05998674	-0.04437424	-0.05999552	-0.04437424	
0.0078	-0.0529252	-0.05291627	-0.0599866	-0.04420272	-0.05999547	-0.04420272	
0.007999999	-0.05285139	-0.05284238	-0.05998646	-0.04403793	-0.05999542	-0.04403793	
0.0082	-0.05278048	-0.05277139	-0.05998632	-0.0438796	-0.05999538	-0.0438796	
0.0084	-0.05271234	-0.05270319	-0.05998619	-0.04372748	-0.05999533	-0.04372748	
0.008599999	-0.05264688	-0.05263766	-0.05998607	-0.04358132	-0.05999529	-0.04358132	
