Time	(21) S1i	(22) S2i	(23) S3i	(24) S4i	
0	-0.06	-0.06	-0.06	-0.06	
0.0002	-0.06	-0.06	-0.06	-0.06	
0.0004	-0.06	-0.06	-0.06	-0.06	
0.0006	-0.06	-0.06	-0.06	-0.06	
0.0008	-0.06	-0.06	-0.06	-0.06	
0.0009999999	-0.06	-0.06	-0.06	-0.06	
0.0012	-0.06	-0.06	-0.06	-0.06	
0.0014	-0.06	-0.06	-0.06	-0.06	
0.0016	-0.06	-0.06	-0.06	-0.06	
0.0018	-0.06	-0.06000001	-0.06	-0.05999999	
0.002	-0.06	-0.06000001	-0.06	-0.05999999	
0.0022	-0.06	-0.06000001	-0.06	-0.05999998	
0.0024	-0.06	-0.06000002	-0.06	-0.05999998	
0.0026	-0.05999999	-0.06000004	-0.06000001	-0.05999997	
0.0028	-0.05999999	-0.06000005	-0.06000001	-0.05999995	
0.003	-0.05999998	-0.06000007	-0.06000002	-0.05999993	
0.0032	-0.05999995	-0.0600001	-0.06000005	-0.05999991	
0.0034	-0.05999992	-0.06000013	-0.06000008	-0.05999987	
0.0036	-0.05999987	-0.06000017	-0.06000013	-0.05999983	
0.0038	-0.05999979	-0.06000022	-0.06000021	-0.05999978	
0.004	-0.05999967	-0.06000028	-0.06000033	-0.05999972	
0.0042	-0.05999953	-0.06000035	-0.06000047	-0.05999965	
0.0044	-0.05999931	-0.06000044	-0.06000069	-0.05999956	
0.0046	-0.05999903	-0.06000055	-0.06000097	-0.05999945	
0.0048	-0.05999869	-0.06000067	-0.06000131	-0.05999933	
0.005	-0.05999822	-0.06000082	-0.06000178	-0.05999918	
0.0052	-0.05999764	-0.06000099	-0.06000236	-0.05999901	
0.0054	-0.05999695	-0.06000119	-0.06000305	-0.05999881	
0.0056	-0.05999606	-0.06000143	-0.06000394	-0.05999858	
0.0058	-0.05999499	-0.06000169	-0.06000501	-0.05999831	
0.006	-0.05999376	-0.060002	-0.06000625	-0.05999801	
0.0062	-0.05999224	-0.06000235	-0.06000776	-0.05999766	
0.0064	-0.05999047	-0.06000274	-0.06000953	-0.05999726	
0.0066	-0.05998847	-0.06000318	-0.06001153	-0.05999682	
0.0068	-0.0599861	-0.06000368	-0.0600139	-0.05999633	
0.007	-0.0599834	-0.06000423	-0.0600166	-0.05999577	
0.0072	-0.0599804	-0.06000483	-0.0600196	-0.05999516	
0.0074	-0.05997695	-0.06000551	-0.06002305	-0.05999449	
0.0076	-0.05997309	-0.06000626	-0.06002691	-0.05999374	
0.0078	-0.05996886	-0.06000706	-0.06003113	-0.05999294	
0.007999999	-0.05996412	-0.06000795	-0.06003588	-0.05999205	
0.0082	-0.0599589	-0.06000891	-0.0600411	-0.05999109	
0.0084	-0.05995325	-0.06000994	-0.06004674	-0.05999006	
0.008599999	-0.05994703	-0.06001106	-0.06005297	-0.05998894	
0.0088	-0.05994027	-0.06001226	-0.06005973	-0.05998774	
0.009	-0.05993305	-0.06001353	-0.06006695	-0.05998647	
0.0092	-0.05992519	-0.0600149	-0.06007481	-0.0599851	
0.0094	-0.05991676	-0.06001636	-0.06008324	-0.05998364	
0.0096	-0.05990782	-0.06001789	-0.06009218	-0.05998211	
0.0098	-0.05989822	-0.06001953	-0.06010178	-0.05998047	
0.01	-0.05988801	-0.06002126	-0.06011199	-0.05997875	
0.0102	-0.05987727	-0.06002306	-0.06012273	-0.05997694	
0.0104	-0.05986584	-0.06002497	-0.06013416	-0.05997503	
0.0106	-0.0598538	-0.06002697	-0.06014621	-0.05997303	
0.0108	-0.0598412	-0.06002906	-0.0601588	-0.05997095	
0.011	-0.0598279	-0.06003124	-0.0601721	-0.05996876	
0.0112	-0.05981397	-0.06003352	-0.06018603	-0.05996648	
0.0114	-0.05979949	-0.06003588	-0.0602005	-0.05996412	
0.0116	-0.05978431	-0.06003835	-0.06021569	-0.05996165	
0.0118	-0.0597685	-0.0600409	-0.0602315	-0.0599591	
0.012	-0.05975214	-0.06004354	-0.06024785	-0.05995646	
0.0122	-0.05973509	-0.06004627	-0.06026491	-0.05995373	
0.0124	-0.05971742	-0.0600491	-0.06028258	-0.0599509	
0.0126	-0.05969921	-0.060052	-0.06030079	-0.059948	
0.0128	-0.05968032	-0.060055	-0.06031968	-0.059945	
0.013	-0.05966083	-0.06005809	-0.06033918	-0.05994191	
0.0132	-0.05964081	-0.06006125	-0.06035919	-0.05993875	
0.0134	-0.05962013	-0.06006451	-0.06037987	-0.05993549	
0.0136	-0.05959887	-0.06006785	-0.06040113	-0.05993215	
0.0138	-0.05957712	-0.06007127	-0.06042288	-0.05992873	
0.014	-0.05955472	-0.06007477	-0.06044528	-0.05992523	
0.0142	-0.05953177	-0.06007835	-0.06046823	-0.05992165	
0.0144	-0.05950835	-0.060082	-0.06049165	-0.059918	
0.0146	-0.05948431	-0.06008574	-0.06051569	-0.05991426	
0.0148	-0.05945975	-0.06008955	-0.06054025	-0.05991045	
0.015	-0.05943475	-0.06009342	-0.06056526	-0.05990658	
0.0152	-0.05940916	-0.06009738	-0.06059084	-0.05990262	
0.0154	-0.05938308	-0.0601014	-0.06061693	-0.0598986	
0.0156	-0.05935658	-0.06010548	-0.06064342	-0.05989452	
0.0158	-0.05932953	-0.06010965	-0.06067047	-0.05989036	
0.016	-0.05930202	-0.06011387	-0.06069798	-0.05988613	
0.0162	-0.05927413	-0.06011815	-0.06072586	-0.05988185	
0.0164	-0.05924573	-0.06012249	-0.06075427	-0.05987751	
0.0166	-0.05921689	-0.0601269	-0.06078311	-0.0598731	
0.0168	-0.05918771	-0.06013136	-0.06081229	-0.05986864	
0.017	-0.05915804	-0.06013589	-0.06084196	-0.05986411	
0.0172	-0.05912798	-0.06014046	-0.06087202	-0.05985954	
0.0174	-0.0590976	-0.06014508	-0.06090239	-0.05985491	
0.0176	-0.05906678	-0.06014977	-0.06093322	-0.05985023	
0.0178	-0.05903559	-0.06015451	-0.06096441	-0.0598455	
0.018	-0.05900412	-0.06015928	-0.06099588	-0.05984072	
0.0182	-0.05897223	-0.06016411	-0.06102777	-0.05983589	
0.0184	-0.05894002	-0.06016898	-0.06105998	-0.05983102	
0.0186	-0.05890755	-0.06017389	-0.06109245	-0.05982611	
0.0188	-0.05887471	-0.06017885	-0.06112529	-0.05982115	
0.019	-0.05884156	-0.06018385	-0.06115844	-0.05981614	
0.0192	-0.0588082	-0.06018889	-0.0611918	-0.05981112	
0.0194	-0.05877449	-0.06019396	-0.06122551	-0.05980603	
0.0196	-0.05874051	-0.06019908	-0.06125949	-0.05980092	
0.0198	-0.05870634	-0.06020422	-0.06129366	-0.05979578	
0.02	-0.05867185	-0.0602094	-0.06132815	-0.0597906	
0.0202	-0.05863713	-0.06021462	-0.06136287	-0.05978538	
0.0204	-0.05860225	-0.06021986	-0.06139775	-0.05978014	
0.0206	-0.05856708	-0.06022513	-0.06143292	-0.05977486	
0.0208	-0.05853171	-0.06023044	-0.0614683	-0.05976956	
0.021	-0.0584962	-0.06023576	-0.0615038	-0.05976424	
0.0212	-0.05846043	-0.06024112	-0.06153957	-0.05975888	
0.0214	-0.05842448	-0.0602465	-0.06157552	-0.0597535	
0.0216	-0.05838842	-0.06025189	-0.06161158	-0.05974811	
0.0218	-0.05835214	-0.06025732	-0.06164787	-0.05974268	
0.022	-0.05831569	-0.06026277	-0.06168431	-0.05973724	
0.0222	-0.05827917	-0.06026822	-0.06172083	-0.05973178	
0.0224	-0.05824244	-0.06027371	-0.06175756	-0.05972629	
0.0226	-0.05820558	-0.06027921	-0.06179442	-0.05972079	
0.0228	-0.05816866	-0.06028472	-0.06183134	-0.05971528	
0.023	-0.05813156	-0.06029025	-0.06186844	-0.05970975	
0.0232	-0.05809435	-0.0602958	-0.06190565	-0.0597042	
0.0234	-0.0580571	-0.06030136	-0.06194289	-0.05969865	
0.0236	-0.0580197	-0.06030693	-0.0619803	-0.05969307	
0.0238	-0.05798221	-0.06031252	-0.06201779	-0.05968748	
0.024	-0.0579447	-0.0603181	-0.0620553	-0.0596819	
0.0242	-0.05790705	-0.06032371	-0.06209295	-0.05967629	
0.0244	-0.05786934	-0.06032933	-0.06213066	-0.05967068	
0.0246	-0.05783163	-0.06033494	-0.06216837	-0.05966506	
0.0248	-0.0577938	-0.06034057	-0.0622062	-0.05965943	
0.025	-0.05775592	-0.0603462	-0.06224408	-0.0596538	
0.0252	-0.05771806	-0.06035184	-0.06228194	-0.05964816	
0.0254	-0.0576801	-0.06035748	-0.0623199	-0.05964252	
0.0256	-0.05764211	-0.06036314	-0.06235789	-0.05963686	
0.0258	-0.05760416	-0.06036878	-0.06239584	-0.05963122	
0.026	-0.05756612	-0.06037444	-0.06243388	-0.05962556	
0.0262	-0.05752806	-0.0603801	-0.06247194	-0.0596199	
0.0264	-0.05749006	-0.06038575	-0.06250994	-0.05961425	
0.0266	-0.05745199	-0.06039141	-0.06254801	-0.05960859	
0.0268	-0.05741392	-0.06039707	-0.06258608	-0.05960293	
0.027	-0.05737591	-0.06040272	-0.06262409	-0.05959728	
0.0272	-0.05733785	-0.06040839	-0.06266215	-0.05959161	
0.0274	-0.0572998	-0.06041405	-0.0627002	-0.05958595	
0.0276	-0.05726182	-0.06041969	-0.06273817	-0.05958031	
0.0278	-0.05722381	-0.06042535	-0.06277619	-0.05957465	
0.028	-0.05718582	-0.060431	-0.06281418	-0.059569	
0.0282	-0.05714792	-0.06043664	-0.06285208	-0.05956336	
0.0284	-0.05710998	-0.06044228	-0.06289002	-0.05955772	
0.0286	-0.05707208	-0.06044792	-0.06292792	-0.05955208	
0.0288	-0.05703429	-0.06045355	-0.06296571	-0.05954645	
0.029	-0.05699647	-0.06045918	-0.06300353	-0.05954082	
0.0292	-0.0569587	-0.0604648	-0.0630413	-0.0595352	
0.0294	-0.05692104	-0.06047041	-0.06307896	-0.05952959	
0.0296	-0.05688336	-0.06047602	-0.06311663	-0.05952398	
0.0298	-0.05684575	-0.06048163	-0.06315425	-0.05951837	
0.03	-0.05680825	-0.06048721	-0.06319175	-0.05951278	
0.0302	-0.05677075	-0.06049281	-0.06322926	-0.05950719	
0.0304	-0.05673331	-0.06049839	-0.06326669	-0.05950161	
0.0306	-0.056696	-0.06050395	-0.063304	-0.05949605	
0.0308	-0.05665869	-0.06050952	-0.06334131	-0.05949048	
0.031	-0.05662145	-0.06051508	-0.06337854	-0.05948492	
0.0312	-0.05658435	-0.06052062	-0.06341565	-0.05947938	
0.0314	-0.05654727	-0.06052615	-0.06345274	-0.05947384	
0.0316	-0.05651025	-0.06053169	-0.06348975	-0.05946831	
0.0318	-0.05647338	-0.0605372	-0.06352662	-0.0594628	
0.032	-0.05643653	-0.06054271	-0.06356347	-0.05945729	
0.0322	-0.05639976	-0.06054821	-0.06360024	-0.05945179	
0.0324	-0.05636313	-0.06055369	-0.06363687	-0.05944631	
0.0326	-0.05632653	-0.06055917	-0.06367347	-0.05944083	
0.0328	-0.05629002	-0.06056464	-0.06370997	-0.05943536	
0.033	-0.05625366	-0.06057008	-0.06374634	-0.05942992	
0.0332	-0.05621733	-0.06057553	-0.06378267	-0.05942447	
0.0334	-0.0561811	-0.06058097	-0.0638189	-0.05941904	
0.0336	-0.05614502	-0.06058638	-0.06385498	-0.05941362	
0.0338	-0.05610897	-0.06059179	-0.06389103	-0.05940821	
0.034	-0.05607302	-0.06059719	-0.06392698	-0.05940281	
0.0342	-0.05603723	-0.06060257	-0.06396277	-0.05939743	
0.0344	-0.05600148	-0.06060795	-0.06399852	-0.05939205	
0.0346	-0.05596583	-0.06061331	-0.06403417	-0.05938669	
0.0348	-0.05593034	-0.06061866	-0.06406966	-0.05938134	
0.035	-0.05589489	-0.060624	-0.06410511	-0.059376	
0.0352	-0.05585955	-0.06062932	-0.06414045	-0.05937067	
0.0354	-0.05582438	-0.06063463	-0.06417562	-0.05936537	
0.0356	-0.05578925	-0.06063993	-0.06421075	-0.05936007	
0.0358	-0.05575423	-0.06064522	-0.06424578	-0.05935478	
0.036	-0.05571937	-0.06065049	-0.06428063	-0.05934951	
0.0362	-0.05568457	-0.06065575	-0.06431543	-0.05934424	
0.0364	-0.05564987	-0.06066101	-0.06435013	-0.05933899	
0.0366	-0.05561535	-0.06066624	-0.06438465	-0.05933376	
0.0368	-0.05558087	-0.06067146	-0.06441913	-0.05932854	
0.037	-0.05554651	-0.06067667	-0.06445349	-0.05932333	
0.0372	-0.05551232	-0.06068186	-0.06448768	-0.05931814	
0.0374	-0.05547819	-0.06068705	-0.06452181	-0.05931295	
0.0376	-0.05544417	-0.06069222	-0.06455584	-0.05930778	
0.0378	-0.05541031	-0.06069737	-0.06458969	-0.05930263	
0.038	-0.05537652	-0.06070252	-0.06462348	-0.05929748	
0.0382	-0.05534285	-0.06070765	-0.06465716	-0.05929235	
0.0384	-0.05530934	-0.06071276	-0.06469066	-0.05928724	
0.0386	-0.05527589	-0.06071787	-0.06472411	-0.05928214	
0.0388	-0.05524257	-0.06072296	-0.06475744	-0.05927704	
0.039	-0.05520941	-0.06072803	-0.06479059	-0.05927197	
0.0392	-0.05517632	-0.06073309	-0.06482369	-0.05926691	
0.0394	-0.05514334	-0.06073815	-0.06485666	-0.05926185	
0.0396	-0.05511054	-0.06074318	-0.06488946	-0.05925683	
0.0398	-0.0550778	-0.0607482	-0.0649222	-0.0592518	
0.04	-0.05504518	-0.06075321	-0.06495482	-0.05924679	
0.0402	-0.05501273	-0.0607582	-0.06498726	-0.0592418	
0.0404	-0.05498035	-0.06076319	-0.06501965	-0.05923681	
