Time	Back_Left_Ankle	Back_Left_Hip_Joint	Back_Left_Knee_Joint	
0	0	0	0	
0.0006	0	0	0	
0.0012	5.715064E-16	1.778981E-18	3.331988E-18	
0.0018	3.226824E-10	2.625831E-10	-9.643705E-11	
0.0024	8.939924E-06	8.004604E-07	-2.764653E-06	
0.003	1.146646E-05	8.440873E-07	-3.288319E-06	
0.0036	1.3881E-05	9.921805E-07	-3.425652E-06	
0.0042	1.63784E-05	1.256143E-06	-3.511861E-06	
0.0048	1.919265E-05	1.7564E-06	-3.714613E-06	
0.0054	2.289377E-05	2.771084E-06	-4.281041E-06	
0.006	2.824614E-05	4.717523E-06	-5.482753E-06	
0.0066	3.602286E-05	8.128497E-06	-7.515794E-06	
0.0072	4.682373E-05	1.363626E-05	-1.043286E-05	
0.0078	6.109294E-05	2.193255E-05	-1.418369E-05	
0.0084	7.91263E-05	3.371005E-05	-1.86476E-05	
0.009	0.0001010575	4.963251E-05	-2.364548E-05	
0.0096	0.0001268905	7.032474E-05	-2.897073E-05	
0.0102	0.0001565371	9.636928E-05	-3.441537E-05	
0.0108	0.0001898486	0.0001283059	-3.978764E-05	
0.0114	0.0002266404	0.0001666323	-4.492176E-05	
0.012	0.0002667087	0.0002118048	-4.968161E-05	
0.0126	0.0003098426	0.0002642399	-5.396112E-05	
0.0132	0.0003558325	0.0003243161	-5.768244E-05	
0.0138	0.0004114154	0.0003841234	-4.815768E-05	
0.0144	0.0004793393	0.0004416331	-2.007616E-05	
0.015	0.0005554195	0.0005018458	2.130507E-05	
0.0156	0.0006462294	0.0005802268	-1.414641E-05	
0.0162	0.0007196969	0.0006644445	-3.669009E-05	
0.0168	0.0007926669	0.0007576608	-5.300347E-05	
0.0174	0.0008684275	0.0008586576	-6.147186E-05	
0.018	0.0009651632	0.0009462856	-2.959724E-05	
0.0186	0.001073984	0.00103427	2.730903E-05	
0.0192	0.001199987	0.001146951	-2.144027E-05	
0.0198	0.001299417	0.001266319	-5.080002E-05	
0.0204	0.001395733	0.001396769	-7.08254E-05	
0.021	0.001508264	0.001519028	-5.304405E-05	
0.0216	0.001642881	0.001630489	1.119786E-05	
0.0222	0.001798866	0.001769651	-4.933417E-05	
0.0228	0.001921859	0.001914603	-8.165371E-05	
0.0234	0.002039007	0.002072952	-0.0001022064	
0.024	0.002174661	0.002220367	-7.565087E-05	
0.0246	0.002335937	0.002353704	8.423844E-06	
0.0252	0.002518236	0.002522934	-6.134266E-05	
0.0258	0.002660661	0.002697723	-9.689241E-05	
0.0264	0.002795088	0.002887485	-0.000118618	
0.027	0.002965995	0.003044884	-5.650209E-05	
0.0276	0.003155309	0.003197967	5.691751E-05	
0.0282	0.003361283	0.003399182	-2.035249E-05	
0.0288	0.00351761	0.003609612	-6.581926E-05	
0.0294	0.00369253	0.003802432	-4.502499E-05	
0.03	0.003899432	0.003974132	5.392487E-05	
0.0306	0.00413297	0.00418771	-3.612178E-05	
0.0312	0.004310965	0.004411122	-8.798601E-05	
0.0318	0.004477767	0.004651622	-0.0001207018	
0.0324	0.004692182	0.004847021	-4.153627E-05	
0.033	0.004927028	0.005036145	0.000102357	
0.0336	0.005178902	0.005285763	8.341131E-06	
0.0342	0.005484444	0.005481182	-0.0001232916	
0.0348	0.00571825	0.00568446	-0.0001909907	
0.0354	0.005928977	0.005909106	-0.0002292968	
0.036	0.006123551	0.006156417	-0.0002475935	
0.0366	0.006356061	0.006364038	-0.0001556983	
0.0372	0.006603519	0.006560246	1.545929E-05	
0.0378	0.006894509	0.006832258	-9.586387E-05	
0.0384	0.007115467	0.007071713	-9.649531E-05	
0.039	0.00736435	0.007269224	2.780796E-05	
0.0396	0.007688509	0.007526034	-0.0001037617	
0.0402	0.007900978	0.007776204	-0.000156372	
0.0408	0.008145815	0.007971993	-6.627522E-05	
0.0414	0.008386643	0.008161752	9.804448E-05	
0.042	0.008728228	0.008431811	-4.067822E-05	
0.0426	0.008977484	0.008637635	-1.038324E-05	
0.0432	0.009215408	0.008824566	0.0001177728	
0.0438	0.00958751	0.009080094	-3.965765E-05	
0.0444	0.009825941	0.00928814	-4.988039E-05	
0.045	0.01005841	0.009470153	5.004389E-05	
0.0456	0.01045894	0.009712708	-0.0001247197	
0.0462	0.0106801	0.009932999	-0.0001827521	
0.0468	0.0109062	0.01010929	-0.0001054657	
0.0474	0.01112334	0.01027787	5.477749E-05	
0.048	0.01153521	0.01053714	-0.0001232928	
0.0486	0.01177436	0.0107307	-0.0001162677	
0.0492	0.01198782	0.01089563	1.099147E-05	
0.0498	0.01242804	0.01114064	-0.0001845733	
0.0504	0.01264303	0.01134672	-0.000229707	
0.051	0.01284721	0.01150336	-0.0001250112	
0.0516	0.01303996	0.01165023	7.023391E-05	
0.0522	0.01348894	0.01191069	-0.0001274557	
0.0528	0.01371858	0.01208785	-0.0001025294	
0.0534	0.01390846	0.01223166	5.42925E-05	
0.054	0.01437688	0.01247618	-0.0001564013	
0.0546	0.01459761	0.01264557	-0.0001537523	
0.0552	0.01477362	0.01277678	-1.006468E-05	
0.0558	0.0149327	0.01289319	0.0002359555	
0.0564	0.01539248	0.01315561	3.286547E-05	
0.057	0.01594973	0.01335648	-0.0002326953	
0.0576	0.01617526	0.01349278	-0.0002852993	
0.0582	0.01632488	0.01359966	-0.0002092307	
0.0588	0.01645284	0.01368643	-2.144248E-05	
0.0594	0.01656797	0.01376028	0.000267498	
0.06	0.01704171	0.01401143	5.515889E-05	
0.0606	0.01761965	0.01420593	-0.0002224829	
0.0612	0.01782518	0.01432717	-0.000268854	
0.0618	0.017942	0.01440091	-0.0001534569	
0.0624	0.01802639	0.01443587	0.0001074374	
0.063	0.01853192	0.01464869	-0.0001281251	
0.0636	0.01870338	0.01477245	-0.0001126967	
0.0642	0.0187978	0.01481855	0.0001167099	
0.0648	0.019315	0.01502923	-0.0001254435	
0.0654	0.01947624	0.01514277	-0.0001005288	
0.066	0.01955696	0.01515269	0.0001836621	
0.06659999	0.02007697	0.01535991	-6.051736E-05	
0.0672	0.02022692	0.01546226	-2.27975E-05	
0.0678	0.02030949	0.01541421	0.0003550828	
0.0684	0.02082998	0.01561804	0.00011015	
0.069	0.02146547	0.01577838	-0.0002038001	
0.0696	0.02162821	0.0158432	-0.0002397717	
0.0702	0.02171323	0.01571157	0.0001461898	
0.0708	0.0222713	0.01585755	-0.0001282413	
0.0714	0.02238278	0.01591719	-0.0001429432	
0.072	0.02246933	0.01571728	0.0003679282	
0.0726	0.02302204	0.01586523	9.675316E-05	
0.07319999	0.02370036	0.01598186	-0.0002471972	
0.0738	0.02385019	0.01598467	-0.000276837	
0.0744	0.02393909	0.01570487	0.0002678657	
0.075	0.02451986	0.01580794	-2.558397E-05	
0.0756	0.02461176	0.01579054	5.913244E-06	
0.0762	0.02524658	0.01588219	-0.0003184801	
