Time	Back_Left_Ankle_Extensor	Back_Left_Ankle_Flexor	Back_Left_Hip_Extensor	Back_Left_Hip_Flexor	Back_Left_Knee_Extensor	Back_Left_Knee_Flexor	
0	0	0	0	0	0	0	
0.0006	0	2.224544E-05	0	0	0	2.278545E-05	
0.0012	0.01153663	0.01106803	0.01540275	0.01465743	0.01154229	0.01107339	
0.0018	0.03210784	0.03351031	0.04276704	0.04448661	0.0321669	0.03352521	
0.0024	0.06203935	0.07752709	0.08258384	0.103	0.06207891	0.07756037	
0.003	0.09965905	0.1597962	0.1326179	0.2123913	0.09972107	0.1598631	
0.0036	0.1423564	0.3038723	0.1893998	0.4039917	0.1424458	0.3039958	
0.0042	0.1874928	0.5368299	0.2494237	0.7138132	0.1876118	0.5370448	
0.0048	0.2329143	0.8813264	0.3098264	1.17199	0.2330632	0.8816742	
0.0054	0.2771122	1.347019	0.3686019	1.791368	0.27729	1.347547	
0.006	0.3191701	1.927784	0.4245336	2.563802	0.3193756	1.928535	
0.0066	0.3586368	2.606291	0.4770212	3.466243	0.3588678	2.607303	
0.0072	0.3953826	3.361333	0.525892	4.47048	0.3956374	3.362636	
0.0078	0.4294819	4.173181	0.571246	5.550272	0.4297588	4.174793	
0.0084	0.4611248	5.025857	0.6133347	6.684368	0.4614222	5.027793	
0.009	0.4905585	5.907345	0.6524869	7.856788	0.4908748	5.909619	
0.0096	0.5180481	6.808944	0.6890556	9.055955	0.518382	6.811563	
0.0102	0.543856	7.724444	0.7233889	10.27361	0.5442066	7.727413	
0.0108	0.5682291	8.649429	0.7558149	11.50388	0.5685949	8.652754	
0.0114	0.5913933	9.580741	0.7866347	12.74257	0.5917739	9.584426	
0.012	0.6135523	10.5161	0.8161185	13.98664	0.6139469	10.52015	
0.0126	0.634889	11.45384	0.8445079	15.23387	0.6352963	11.45825	
0.0132	0.655564	12.39273	0.8720188	16.48264	0.6559839	12.39751	
0.0138	0.6757209	13.33184	0.8988407	17.7317	0.6761535	13.33699	
0.0144	0.695488	14.27047	0.9251442	18.98012	0.6959328	14.27599	
0.015	0.7149785	15.20808	0.9510805	20.22718	0.7154353	15.21396	
0.0156	0.7342947	16.14425	0.9767841	21.47232	0.7347628	16.1505	
0.0162	0.7535276	17.07863	1.002377	22.71509	0.7540076	17.08526	
0.0168	0.7727605	18.01097	1.02797	23.95514	0.7732517	18.01797	
0.0174	0.7920685	18.94105	1.053663	25.19218	0.7925717	18.94843	
0.018	0.8115205	19.8687	1.079547	26.42598	0.8120353	19.87644	
0.0186	0.8311803	20.79376	1.105707	27.65635	0.831707	20.80188	
0.0192	0.8511063	21.71613	1.13222	28.88312	0.8516447	21.72461	
0.0198	0.871353	22.63568	1.159159	30.10616	0.8719032	22.64455	
0.0204	0.8919714	23.55235	1.186593	31.32536	0.8925337	23.56159	
0.021	0.9130099	24.46606	1.214584	32.54062	0.9135845	24.47567	
0.0216	0.9345138	25.37675	1.243194	33.75185	0.9351009	25.38673	
0.0222	0.9565259	26.28436	1.272479	34.959	0.9571254	26.29472	
0.0228	0.9790869	27.18885	1.302493	36.16199	0.9796993	27.19958	
0.0234	1.002236	28.09017	1.333289	37.36076	1.002862	28.10128	
0.024	1.026011	28.9883	1.364917	38.55528	1.026652	28.99977	
0.0246	1.050449	29.88319	1.397424	39.74551	1.051103	29.89503	
0.0252	1.075584	30.77483	1.430858	40.93139	1.076252	30.78704	
0.0258	1.101449	31.66318	1.465263	42.11291	1.102132	31.67576	
0.0264	1.128079	32.54822	1.500683	43.29002	1.128776	32.56117	
0.027	1.155505	33.42994	1.537161	44.46272	1.156217	33.44326	
0.0276	1.183758	34.30832	1.574737	45.63096	1.184486	34.322	
0.0282	1.212869	35.18333	1.613454	46.79473	1.213613	35.19739	
0.0288	1.242866	36.05498	1.653349	47.95401	1.243628	36.0694	
0.0294	1.273782	36.92323	1.694463	49.10879	1.274559	36.93801	
0.03	1.305642	37.78809	1.736834	50.25904	1.306438	37.80323	
0.0306	1.338478	38.64954	1.780499	51.40476	1.339291	38.66504	
0.0312	1.372315	39.50756	1.825495	52.54593	1.373146	39.52343	
0.0318	1.407182	40.36216	1.87186	53.68253	1.408032	40.37839	
0.0324	1.443106	41.21332	1.91963	54.81455	1.443975	41.22991	
0.033	1.480114	42.06103	1.96884	55.94199	1.481003	42.07797	
0.0336	1.518234	42.90529	2.019525	57.06484	1.519142	42.92259	
0.0342	1.557491	43.74609	2.071722	58.18308	1.558418	43.76374	
0.0348	1.597911	44.58342	2.125464	59.2967	1.598859	44.60143	
0.0354	1.63952	45.41727	2.180787	60.4057	1.640489	45.43563	
0.036	1.682344	46.24765	2.237723	61.51008	1.683334	46.26636	
