Time	Back_Left_Ankle_Extensor	Back_Left_Ankle_Flexor	Back_Left_Hip_Extensor	Back_Left_Hip_Flexor	Back_Left_Knee_Extensor	Back_Left_Knee_Flexor	
0	0	0	0	0	0	0	
0.0006	0	0	0	0	-2.483527E-05	0	
0.0012	7.450581E-05	2.483527E-05	0	0	0	0	
0.0018	0	0	-0.001788139	0.001788139	0.005935629	0	
0.0024	-4.967054E-05	-4.967054E-05	0.0001986822	-0.0001986822	-0.006332994	0	
0.003	4.967054E-05	4.967054E-05	0.0002483527	-0.0002483527	-4.967054E-05	0.0002483527	
0.0036	2.483527E-05	7.450581E-05	0.0001490116	-0.0001986822	0.0001738469	4.967054E-05	
0.0042	0	0	0.0001986822	-0.0001490116	0.0001986822	0	
0.0048	-4.967054E-05	-4.967054E-05	9.934108E-05	-0.0001490116	9.934108E-05	9.934108E-05	
0.0054	4.967054E-05	4.967054E-05	9.934108E-05	-9.934108E-05	0.0001490116	0	
0.006	0	0	9.934108E-05	-9.934108E-05	9.934108E-05	0	
0.0066	0	2.483527E-05	9.934108E-05	-4.967054E-05	2.483527E-05	4.967054E-05	
0.0072	0	-2.483527E-05	0	-4.967054E-05	2.483527E-05	-4.967054E-05	
0.0078	0	-4.967054E-05	9.934108E-05	0	2.483527E-05	4.967054E-05	
0.0084	0	0	0	-4.967054E-05	2.483527E-05	0	
0.009	2.483527E-05	2.483527E-05	0	-4.967054E-05	2.483527E-05	-4.967054E-05	
0.0096	0	-2.483527E-05	4.967054E-05	0	0	0	
0.0102	0	0	0	-9.934108E-05	2.483527E-05	0	
0.0108	2.483527E-05	0	0	0	-2.483527E-05	-4.967054E-05	
0.0114	0	0	4.967054E-05	0	0	-4.967054E-05	
0.012	-2.483527E-05	-7.450581E-05	0	0	-4.967054E-05	0	
0.0126	7.450581E-05	4.967054E-05	-4.967054E-05	0	-2.483527E-05	-4.967054E-05	
0.0132	2.483527E-05	-4.967054E-05	4.967054E-05	0	-2.483527E-05	-4.967054E-05	
0.0138	-2.483527E-05	4.967054E-05	-4.967054E-05	0	0	0	
0.0144	4.967054E-05	0	0	0	2.483527E-05	-4.967054E-05	
0.015	2.483527E-05	-2.483527E-05	4.967054E-05	0	0	0	
0.0156	4.967054E-05	-4.967054E-05	-4.967054E-05	0	-4.967054E-05	-9.934108E-05	
0.0162	2.483527E-05	0	-4.967054E-05	4.967054E-05	2.483527E-05	-4.967054E-05	
0.0168	2.483527E-05	0	-4.967054E-05	-4.967054E-05	-7.450581E-05	-4.967054E-05	
0.0174	2.483527E-05	0	-4.967054E-05	0	4.967054E-05	-4.967054E-05	
0.018	0	-9.934108E-05	0	4.967054E-05	-4.967054E-05	0	
0.0186	4.967054E-05	0	4.967054E-05	4.967054E-05	2.483527E-05	-4.967054E-05	
0.0192	4.967054E-05	0	-9.934108E-05	0	-2.483527E-05	-4.967054E-05	
0.0198	2.483527E-05	0	-4.967054E-05	0	-4.967054E-05	-9.934108E-05	
0.0204	2.483527E-05	-4.967054E-05	-4.967054E-05	0	-4.967054E-05	0	
0.021	4.967054E-05	-2.483527E-05	0	9.934108E-05	0	-4.967054E-05	
0.0216	7.450581E-05	-4.967054E-05	-4.967054E-05	0	0	-4.967054E-05	
0.0222	7.450581E-05	-2.483527E-05	0	9.934108E-05	-2.483527E-05	-4.967054E-05	
0.0228	2.483527E-05	0	-9.934108E-05	0	-4.967054E-05	-9.934108E-05	
0.0234	7.450581E-05	0	-4.967054E-05	0	2.483527E-05	-4.967054E-05	
0.024	-2.483527E-05	-9.934108E-05	-4.967054E-05	4.967054E-05	0	4.967054E-05	
0.0246	4.967054E-05	0	-4.967054E-05	9.934108E-05	-2.483527E-05	-4.967054E-05	
0.0252	9.934108E-05	-4.967054E-05	-4.967054E-05	4.967054E-05	-2.483527E-05	-9.934108E-05	
0.0258	2.483527E-05	0	-4.967054E-05	4.967054E-05	-4.967054E-05	-4.967054E-05	
0.0264	7.450581E-05	-4.967054E-05	-9.934108E-05	0	-4.967054E-05	-4.967054E-05	
0.027	7.450581E-05	-4.967054E-05	-4.967054E-05	4.967054E-05	0	0	
0.0276	7.450581E-05	-2.483527E-05	-4.967054E-05	9.934108E-05	4.967054E-05	-4.967054E-05	
0.0282	0.0001241764	2.483527E-05	-4.967054E-05	4.967054E-05	0	-9.934108E-05	
0.0288	2.483527E-05	-9.934108E-05	-9.934108E-05	4.967054E-05	-4.967054E-05	0	
0.0294	7.450581E-05	0	-4.967054E-05	9.934108E-05	-2.483527E-05	0	
0.03	4.967054E-05	-4.967054E-05	-4.967054E-05	4.967054E-05	0	-4.967054E-05	
0.0306	9.934108E-05	-2.483527E-05	-4.967054E-05	9.934108E-05	-2.483527E-05	-9.934108E-05	
0.0312	9.934108E-05	-7.450581E-05	-0.0001490116	0	-4.967054E-05	-9.934108E-05	
0.0318	7.450581E-05	-2.483527E-05	-9.934108E-05	4.967054E-05	0	0	
0.0324	2.483527E-05	-4.967054E-05	-4.967054E-05	0.0001490116	-4.967054E-05	0	
0.033	4.967054E-05	-2.483527E-05	-4.967054E-05	4.967054E-05	7.450581E-05	0	
0.0336	0.0001490116	-2.483527E-05	-9.934108E-05	9.934108E-05	-4.967054E-05	-0.0001490116	
0.0342	0.0001241764	-4.967054E-05	0	9.934108E-05	-7.450581E-05	-4.967054E-05	
0.0348	9.934108E-05	-7.450581E-05	-9.934108E-05	4.967054E-05	0	-4.967054E-05	
0.0354	7.450581E-05	-7.450581E-05	-9.934108E-05	4.967054E-05	-4.967054E-05	-4.967054E-05	
0.036	4.967054E-05	0	-9.934108E-05	9.934108E-05	-4.967054E-05	4.967054E-05	
0.0366	9.934108E-05	-7.450581E-05	-4.967054E-05	9.934108E-05	-2.483527E-05	-4.967054E-05	
0.0372	4.967054E-05	-2.483527E-05	-9.934108E-05	0	7.450581E-05	0	
0.0378	0.0001241764	-7.450581E-05	-0.0001490116	9.934108E-05	0	-9.934108E-05	
0.0384	9.934108E-05	-2.483527E-05	-4.967054E-05	9.934108E-05	-9.934108E-05	-4.967054E-05	
0.039	0.0001241764	-2.483527E-05	-4.967054E-05	9.934108E-05	2.483527E-05	0	
0.0396	0.0001241764	-4.967054E-05	-9.934108E-05	9.934108E-05	-2.483527E-05	-9.934108E-05	
0.0402	7.450581E-05	-7.450581E-05	-9.934108E-05	9.934108E-05	-4.967054E-05	-9.934108E-05	
0.0408	2.483527E-05	-4.967054E-05	-9.934108E-05	4.967054E-05	-2.483527E-05	9.934108E-05	
0.0414	0.0001738469	-4.967054E-05	0	9.934108E-05	2.483527E-05	-9.934108E-05	
0.042	9.934108E-05	-2.483527E-05	-9.934108E-05	4.967054E-05	-2.483527E-05	0	
0.0426	0.0001490116	-4.967054E-05	-4.967054E-05	9.934108E-05	0	-9.934108E-05	
0.0432	2.483527E-05	-7.450581E-05	-9.934108E-05	9.934108E-05	-4.967054E-05	0	
0.0438	7.450581E-05	-2.483527E-05	-4.967054E-05	9.934108E-05	2.483527E-05	-4.967054E-05	
0.0444	0.000273188	-4.967054E-05	-9.934108E-05	9.934108E-05	-9.934108E-05	-0.0001490116	
0.045	7.450581E-05	-7.450581E-05	0	4.967054E-05	2.483527E-05	4.967054E-05	
0.0456	4.967054E-05	-7.450581E-05	-9.934108E-05	9.934108E-05	-2.483527E-05	0	
0.0462	0.0001241764	-4.967054E-05	-9.934108E-05	4.967054E-05	-9.934108E-05	-9.934108E-05	
0.0468	7.450581E-05	0	-4.967054E-05	9.934108E-05	-7.450581E-05	4.967054E-05	
0.0474	0.0001241764	-9.934108E-05	-4.967054E-05	4.967054E-05	7.450581E-05	-4.967054E-05	
0.048	7.450581E-05	-2.483527E-05	-9.934108E-05	9.934108E-05	-2.483527E-05	4.967054E-05	
0.0486	0.0001490116	-7.450581E-05	-4.967054E-05	9.934108E-05	-9.934108E-05	-0.0001490116	
0.0492	0.0001490116	-9.934108E-05	-4.967054E-05	4.967054E-05	4.967054E-05	0	
0.0498	2.483527E-05	-4.967054E-05	-9.934108E-05	9.934108E-05	-2.483527E-05	0	
0.0504	0.0001738469	0	-9.934108E-05	4.967054E-05	-0.0001241764	-9.934108E-05	
0.051	0.0001490116	-4.967054E-05	0	4.967054E-05	-4.967054E-05	4.967054E-05	
0.0516	4.967054E-05	-4.967054E-05	-4.967054E-05	9.934108E-05	4.967054E-05	4.967054E-05	
0.0522	0	-4.967054E-05	-9.934108E-05	9.934108E-05	2.483527E-05	0	
0.0528	0.0002235174	-0.0001490116	-4.967054E-05	4.967054E-05	-0.0001241764	-0.0001986822	
0.0534	0.0001490116	4.967054E-05	0	4.967054E-05	2.483527E-05	4.967054E-05	
0.054	2.483527E-05	-9.934108E-05	-9.934108E-05	9.934108E-05	4.967054E-05	4.967054E-05	
0.0546	0.0001490116	-4.967054E-05	-4.967054E-05	4.967054E-05	-0.0001490116	-0.0001490116	
0.0552	0.0001241764	-4.967054E-05	-4.967054E-05	4.967054E-05	0	0	
0.0558	2.483527E-05	-9.934108E-05	0	4.967054E-05	0	4.967054E-05	
0.0564	2.483527E-05	-4.967054E-05	-9.934108E-05	9.934108E-05	4.967054E-05	0	
0.057	0.0002980233	-2.483527E-05	0	0.0001490116	-7.450581E-05	-0.0001490116	
0.0576	0.0001738469	-7.450581E-05	-9.934108E-05	4.967054E-05	-7.450581E-05	-0.0002483527	
0.0582	9.934108E-05	-4.967054E-05	0	-4.967054E-05	-9.934108E-05	0.0001490116	
0.0588	4.967054E-05	0	-9.934108E-05	0	0	9.934108E-05	
0.0594	-2.483527E-05	-7.450581E-05	0	4.967054E-05	0	4.967054E-05	
0.06	7.450581E-05	-7.450581E-05	-4.967054E-05	9.934108E-05	4.967054E-05	0	
0.0606	0.0001986822	-4.967054E-05	0	0.0001490116	-2.483527E-05	-0.0001490116	
0.0612	0.0002483527	-7.450581E-05	-4.967054E-05	0	-9.934108E-05	-0.0001986822	
0.0618	9.934108E-05	-7.450581E-05	0	4.967054E-05	-0.0001241764	4.967054E-05	
0.0624	0	-2.483527E-05	-4.967054E-05	-4.967054E-05	0	0.0001490116	
0.063	0	-4.967054E-05	-4.967054E-05	0.0001490116	9.934108E-05	4.967054E-05	
0.0636	0.0002483527	-2.483527E-05	-9.934108E-05	-4.967054E-05	-0.0001490116	-0.0001490116	
0.0642	9.934108E-05	-9.934108E-05	0	0	-2.483527E-05	0	
0.0648	-4.967054E-05	0	0	0.0001490116	9.934108E-05	9.934108E-05	
0.0654	0.0001986822	-9.934108E-05	-4.967054E-05	0	-0.0001738469	-0.0001986822	
0.066	0.0001241764	2.483527E-05	-4.967054E-05	-4.967054E-05	0	4.967054E-05	
0.06659999	-2.483527E-05	-9.934108E-05	0	0.0001490116	9.934108E-05	9.934108E-05	
0.0672	0.0002483527	-0.0001241764	-4.967054E-05	0	-0.0001490116	-0.0001986822	
0.0678	2.483527E-05	4.967054E-05	4.967054E-05	-4.967054E-05	0	4.967054E-05	
0.0684	-2.483527E-05	-4.967054E-05	-4.967054E-05	9.934108E-05	0.0001241764	4.967054E-05	
0.069	0.0002980233	-9.934108E-05	4.967054E-05	0.0001986822	-7.450581E-05	-0.0001986822	
0.0696	0.000273188	-4.967054E-05	0	-4.967054E-05	-9.934108E-05	-0.0002483527	
0.0702	2.483527E-05	-9.934108E-05	0	-9.934108E-05	-0.0001241764	0.0001490116	
0.0708	2.483527E-05	2.483527E-05	0	9.934108E-05	0.0001490116	9.934108E-05	
0.0714	0.0002483527	-0.0001490116	0	0	-0.0001241764	-0.0002980233	
0.072	0	2.483527E-05	0	-0.0001986822	-9.934108E-05	0.0001986822	
0.0726	7.450581E-05	0	4.967054E-05	0.0001490116	0.0002235174	4.967054E-05	
0.07319999	0.0001738469	-0.0001986822	9.934108E-05	0.0001986822	-2.483527E-05	-0.0001986822	
0.0738	0.0002980233	-9.934108E-05	-4.967054E-05	-9.934108E-05	-0.0001986822	-0.0002483527	
0.0744	4.967054E-05	2.483527E-05	9.934108E-05	-0.0001986822	-7.450581E-05	9.934108E-05	
0.075	2.483527E-05	-7.450581E-05	4.967054E-05	0.0001490116	0.0001986822	9.934108E-05	
0.0756	0.000273188	-7.450581E-05	-4.967054E-05	-9.934108E-05	-0.0002235174	-0.0001986822	
0.0762	2.483527E-05	2.483527E-05	9.934108E-05	0.0001490116	7.450581E-05	0.0001490116	
0.0768	0.0001986822	-0.0001738469	0	-9.934108E-05	-0.0002235174	-0.0002483527	
0.0774	2.483527E-05	-2.483527E-05	9.934108E-05	-0.0002980233	0	0.0001986822	
0.078	0	-4.967054E-05	9.934108E-05	0.0001490116	0.0002483527	4.967054E-05	
0.0786	0.0002980233	-9.934108E-05	9.934108E-05	0.0001490116	-4.967054E-05	-0.0002483527	
0.0792	0.0003228585	-7.450581E-05	-4.967054E-05	-9.934108E-05	-0.0001986822	-0.0002980233	
0.07979999	0	-2.483527E-05	0.0001490116	-0.0002980233	-9.934108E-05	0.0001986822	
0.0804	2.483527E-05	-4.967054E-05	9.934108E-05	9.934108E-05	0.000273188	9.934108E-05	
0.081	0.0002980233	-9.934108E-05	0.0001986822	0.0001490116	2.483527E-05	-0.0002483527	
0.0816	0.000273188	-0.0001490116	-4.967054E-05	-0.0001490116	-0.0002483527	-0.0002483527	
0.0822	4.967054E-05	-2.483527E-05	0.0001490116	-0.0003973643	-4.967054E-05	0.0002483527	
0.0828	-2.483527E-05	-4.967054E-05	9.934108E-05	0.0001490116	0.000273188	4.967054E-05	
0.0834	0.0002980233	-4.967054E-05	0.0001986822	0.0001490116	-7.450581E-05	-0.0001986822	
0.084	0.0003228585	-9.934108E-05	-9.934108E-05	-0.0002483527	-0.0001986822	-0.0002483527	
0.0846	2.483527E-05	-7.450581E-05	0.0001986822	-0.0003476938	-7.450581E-05	0.0002483527	
