Time	Back_Left_Ankle	Back_Left_Hip_Joint	Back_Left_Knee_Joint	
0	0	0	0	
0.0006	0	0	0	
0.0012	5.715064E-16	1.778981E-18	3.331988E-18	
0.0018	-0.0001349101	-4.96861E-06	3.710352E-06	
0.0024	-0.0001123819	-4.337435E-06	4.574617E-06	
0.003	-9.075163E-05	-3.822651E-06	4.652451E-06	
0.0036	-7.218259E-05	-3.765209E-06	4.110417E-06	
0.0042	-5.652336E-05	-4.194897E-06	3.04478E-06	
0.0048	-4.3254E-05	-5.124374E-06	1.466642E-06	
0.0054	-3.18833E-05	-6.570803E-06	-6.362564E-07	
0.006	-2.282639E-05	-8.031154E-06	-2.599743E-06	
0.0066	-1.556695E-05	-9.658577E-06	-4.271974E-06	
0.0072	-9.716027E-06	-1.146584E-05	-5.727093E-06	
0.0078	-4.948866E-06	-1.346415E-05	-7.027286E-06	
0.0084	-1.007145E-06	-1.566329E-05	-8.22125E-06	
0.009	2.310387E-06	-1.807101E-05	-9.345345E-06	
0.0096	5.547666E-06	-2.066985E-05	-1.03917E-05	
0.0102	8.933847E-06	-2.345861E-05	-1.138298E-05	
0.0108	1.25082E-05	-2.64447E-05	-1.234592E-05	
0.0114	1.629245E-05	-2.963294E-05	-1.329562E-05	
0.012	2.02997E-05	-3.302528E-05	-1.423997E-05	
0.0126	2.453673E-05	-3.662139E-05	-1.518206E-05	
0.0132	2.900539E-05	-4.041928E-05	-1.612194E-05	
0.0138	3.370344E-05	-4.441529E-05	-1.705742E-05	
0.0144	3.86211E-05	-4.860108E-05	-1.798163E-05	
0.015	4.374542E-05	-5.296913E-05	-1.888875E-05	
0.0156	4.906388E-05	-5.751257E-05	-1.977462E-05	
0.0162	5.456488E-05	-6.222529E-05	-2.06366E-05	
0.0168	6.023802E-05	-6.710208E-05	-2.14734E-05	
0.0174	6.607441E-05	-7.213855E-05	-2.228493E-05	
0.018	7.206647E-05	-7.733124E-05	-2.307201E-05	
0.0186	7.820805E-05	-8.267756E-05	-2.383621E-05	
0.0192	8.449434E-05	-8.817573E-05	-2.457965E-05	
0.0198	9.092165E-05	-9.382478E-05	-2.530481E-05	
0.0204	9.748764E-05	-9.962441E-05	-2.601448E-05	
0.021	0.0001041909	-0.000105575	-2.671156E-05	
0.0216	0.000111031	-0.0001116776	-2.739897E-05	
0.0222	0.0001180083	-0.0001179338	-2.807964E-05	
0.0228	0.0001251237	-0.0001243455	-2.875639E-05	
0.0234	0.0001323791	-0.0001309153	-2.943198E-05	
0.024	0.0001397768	-0.0001376461	-3.010898E-05	
0.0246	0.0001473197	-0.0001445412	-3.078984E-05	
0.0252	0.0001550111	-0.0001516042	-3.147688E-05	
0.0258	0.0001628548	-0.000158839	-3.217223E-05	
0.0264	0.000170855	-0.00016625	-3.287789E-05	
0.027	0.0001790159	-0.0001738416	-3.359569E-05	
0.0276	0.0001873424	-0.0001816185	-3.432738E-05	
0.0282	0.0001958399	-0.0001895858	-3.507456E-05	
0.0288	0.0002045135	-0.0001977486	-3.583876E-05	
0.0294	0.0002133691	-0.0002061125	-3.662136E-05	
0.03	0.0002224125	-0.0002146831	-3.742369E-05	
0.0306	0.0002316498	-0.0002234661	-3.8247E-05	
0.0312	0.0002410878	-0.0002324678	-3.909249E-05	
0.0318	0.0002507331	-0.0002416943	-3.996129E-05	
0.0324	0.0002605925	-0.000251152	-4.085449E-05	
0.033	0.0002706733	-0.0002608476	-4.177309E-05	
0.0336	0.0002809814	-0.0002707866	-4.271702E-05	
0.0342	0.0002915208	-0.0002809739	-4.368502E-05	
0.0348	0.0003022955	-0.0002914148	-4.467654E-05	
0.0354	0.0003133104	-0.0003021152	-4.569164E-05	
0.036	0.0003245709	-0.0003130812	-4.67308E-05	
0.0366	0.0003360835	-0.0003243195	-4.779488E-05	
0.0372	0.0003478552	-0.0003358369	-4.888489E-05	
0.0378	0.0003598932	-0.0003476407	-5.000196E-05	
0.0384	0.0003722056	-0.0003597384	-5.11473E-05	
0.039	0.0003848006	-0.0003721377	-5.232211E-05	
0.0396	0.000397687	-0.0003848465	-5.35276E-05	
0.0402	0.0004108739	-0.0003978731	-5.476498E-05	
0.0408	0.0004243704	-0.0004112257	-5.603532E-05	
0.0414	0.0004381863	-0.0004249128	-5.733976E-05	
0.042	0.0004523315	-0.0004389431	-5.867937E-05	
0.0426	0.000466816	-0.0004533255	-6.005508E-05	
0.0432	0.0004816501	-0.0004680689	-6.146784E-05	
0.0438	0.0004968446	-0.0004831826	-6.291857E-05	
0.0444	0.0005124101	-0.0004986757	-6.440817E-05	
0.045	0.0005283577	-0.0005145577	-6.593746E-05	
0.0456	0.0005446987	-0.0005308382	-6.750724E-05	
0.0462	0.0005614443	-0.0005475268	-6.911829E-05	
0.0468	0.0005786064	-0.0005646334	-7.077141E-05	
0.0474	0.0005961966	-0.000582168	-7.246729E-05	
0.048	0.000614227	-0.0006001407	-7.420665E-05	
0.0486	0.0006327099	-0.0006185616	-7.599022E-05	
0.0492	0.0006516578	-0.0006374412	-7.781875E-05	
0.0498	0.0006710836	-0.0006567899	-7.96929E-05	
0.0504	0.000691	-0.0006766182	-8.161334E-05	
0.051	0.00071142	-0.000696937	-8.358076E-05	
0.0516	0.0007323573	-0.0007177572	-8.559584E-05	
0.0522	0.0007538252	-0.0007390894	-8.765921E-05	
0.0528	0.000775837	-0.0007609451	-8.977146E-05	
0.0534	0.0007984071	-0.0007833352	-9.193327E-05	
0.054	0.0008215493	-0.0008062712	-9.414527E-05	
0.0546	0.000845278	-0.0008297644	-9.640806E-05	
0.0552	0.0008696077	-0.0008538264	-9.87223E-05	
0.0558	0.0008945533	-0.0008784688	-0.0001010886	
0.0564	0.0009201294	-0.0009037033	-0.0001035075	
0.057	0.0009463514	-0.0009295417	-0.0001059797	
0.0576	0.0009732345	-0.0009559961	-0.0001085056	
0.0582	0.001000794	-0.0009830785	-0.000111086	
0.0588	0.001029047	-0.001010801	-0.0001137214	
0.0594	0.001058007	-0.001039176	-0.0001164124	
0.06	0.001087692	-0.001068215	-0.0001191593	
0.0606	0.001118118	-0.001097931	-0.0001219629	
0.0612	0.0011493	-0.001128337	-0.0001248236	
0.0618	0.001181256	-0.001159445	-0.000127742	
0.0624	0.001214003	-0.001191268	-0.0001307186	
0.063	0.001247557	-0.001223818	-0.0001337538	
0.0636	0.001281936	-0.001257108	-0.0001368482	
0.0642	0.001317157	-0.001291152	-0.0001400021	
0.0648	0.001353237	-0.001325961	-0.0001432161	
0.0654	0.001390195	-0.00136155	-0.0001464908	
0.066	0.001428047	-0.00139793	-0.0001498262	
0.06659999	0.001466813	-0.001435116	-0.0001532232	
0.0672	0.00150651	-0.00147312	-0.0001566819	
0.0678	0.001547156	-0.001511956	-0.0001602028	
0.0684	0.001588772	-0.001551636	-0.0001637863	
