Time	Back_Left_Ankle_Extensor	Back_Left_Ankle_Flexor	Back_Left_Hip_Extensor	Back_Left_Hip_Flexor	Back_Left_Knee_Extensor	Back_Left_Knee_Flexor	
0	0	0	0	0	0	0	
0.0006	0	0	0	0	-2.483527E-05	0	
0.0012	7.450581E-05	2.483527E-05	0	0	0	0	
0.0018	0	0	-4.967054E-05	0	0.0001241764	0	
0.0024	0.0001986822	0.0001986822	0	0	-4.967054E-05	9.934108E-05	
0.003	-0.0001241764	-4.967054E-05	0	0	0	0	
0.0036	0	0	0	0	0	0	
0.0042	-4.967054E-05	-2.483527E-05	0	0	-4.967054E-05	0	
0.0048	0	-2.483527E-05	0	0	0	-4.967054E-05	
0.0054	0	0	4.967054E-05	0	2.483527E-05	0	
0.006	-4.967054E-05	-4.967054E-05	0	0	0	0	
0.0066	0	0	0	0	0	4.967054E-05	
0.0072	2.483527E-05	0	0	0	2.483527E-05	0	
0.0078	0	2.483527E-05	0	0	-2.483527E-05	-9.934108E-05	
0.0084	-2.483527E-05	-4.967054E-05	0	4.967054E-05	-2.483527E-05	4.967054E-05	
0.009	0	-2.483527E-05	0	0	2.483527E-05	0	
0.0096	2.483527E-05	2.483527E-05	0	0	-2.483527E-05	0	
0.0102	0	0	0	0	0	4.967054E-05	
0.0108	-2.483527E-05	-4.967054E-05	-4.967054E-05	-4.967054E-05	2.483527E-05	-4.967054E-05	
0.0114	0	2.483527E-05	0	0	0	-4.967054E-05	
0.012	0	0	0	0	0	0	
0.0126	0	2.483527E-05	4.967054E-05	0	-2.483527E-05	4.967054E-05	
0.0132	0	-2.483527E-05	0	0	2.483527E-05	0	
0.0138	0	2.483527E-05	0	0	-2.483527E-05	0	
0.0144	0	0	0	0	0	0	
0.015	0	-2.483527E-05	0	0	0	0	
0.0156	0	0	0	0	2.483527E-05	0	
0.0162	0	-2.483527E-05	0	0	-2.483527E-05	0	
0.0168	2.483527E-05	0	0	0	2.483527E-05	0	
0.0174	0	4.967054E-05	0	0	-2.483527E-05	0	
0.018	0	0	0	0	2.483527E-05	-4.967054E-05	
0.0186	2.483527E-05	-4.967054E-05	0	0	0	0	
0.0192	-4.967054E-05	-4.967054E-05	0	0	0	0	
0.0198	0	2.483527E-05	4.967054E-05	0	-2.483527E-05	0	
0.0204	-2.483527E-05	-2.483527E-05	0	0	0	4.967054E-05	
0.021	-2.483527E-05	2.483527E-05	0	0	2.483527E-05	0	
0.0216	2.483527E-05	-2.483527E-05	-4.967054E-05	-4.967054E-05	2.483527E-05	0	
0.0222	2.483527E-05	4.967054E-05	0	4.967054E-05	-2.483527E-05	0	
0.0228	0	-2.483527E-05	4.967054E-05	0	-2.483527E-05	-4.967054E-05	
0.0234	2.483527E-05	-2.483527E-05	0	-4.967054E-05	0	0	
0.024	0	-2.483527E-05	4.967054E-05	0	2.483527E-05	4.967054E-05	
0.0246	-2.483527E-05	4.967054E-05	0	4.967054E-05	-2.483527E-05	0	
0.0252	-2.483527E-05	0	-9.934108E-05	-4.967054E-05	2.483527E-05	4.967054E-05	
0.0258	2.483527E-05	-2.483527E-05	4.967054E-05	0	0	-9.934108E-05	
0.0264	0	2.483527E-05	4.967054E-05	0	0	4.967054E-05	
0.027	4.967054E-05	-2.483527E-05	0	0	0	-4.967054E-05	
0.0276	0	0	0	0	0	9.934108E-05	
0.0282	-4.967054E-05	2.483527E-05	-4.967054E-05	0	0	-9.934108E-05	
0.0288	2.483527E-05	-2.483527E-05	4.967054E-05	0	0	0	
0.0294	0	0	0	0	0	0	
0.03	0	0	0	0	0	4.967054E-05	
0.0306	0	0	0	0	0	-4.967054E-05	
0.0312	2.483527E-05	0	0	0	0	9.934108E-05	
0.0318	0	0	0	0	-2.483527E-05	-9.934108E-05	
0.0324	0	0	0	0	2.483527E-05	4.967054E-05	
0.033	0	0	0	0	-2.483527E-05	0	
0.0336	-2.483527E-05	0	0	-4.967054E-05	2.483527E-05	0	
0.0342	0	0	0	4.967054E-05	0	0	
0.0348	7.450581E-05	0	4.967054E-05	0	-2.483527E-05	-4.967054E-05	
0.0354	0	-4.967054E-05	0	0	-4.967054E-05	4.967054E-05	
0.036	0	7.450581E-05	0	-4.967054E-05	2.483527E-05	-4.967054E-05	
0.0366	2.483527E-05	0	0	0	2.483527E-05	0	
0.0372	0	-2.483527E-05	0	0	-4.967054E-05	0	
0.0378	4.967054E-05	0	0	-4.967054E-05	2.483527E-05	0	
0.0384	-2.483527E-05	0	0	4.967054E-05	0	0	
0.039	0	0	4.967054E-05	0	0	0	
0.0396	0	0	0	-4.967054E-05	4.967054E-05	0	
0.0402	2.483527E-05	0	0	0	-4.967054E-05	-4.967054E-05	
0.0408	-2.483527E-05	4.967054E-05	0	4.967054E-05	0	4.967054E-05	
0.0414	2.483527E-05	-4.967054E-05	0	-4.967054E-05	2.483527E-05	4.967054E-05	
0.042	-2.483527E-05	0	0	0	0	-4.967054E-05	
0.0426	4.967054E-05	-2.483527E-05	0	0	-4.967054E-05	0	
0.0432	0	2.483527E-05	0	0	2.483527E-05	0	
0.0438	-2.483527E-05	0	0	0	0	0	
0.0444	0	0	0	-4.967054E-05	0	0	
0.045	4.967054E-05	-2.483527E-05	0	4.967054E-05	-2.483527E-05	0	
0.0456	-2.483527E-05	0	9.934108E-05	0	2.483527E-05	0	
0.0462	0	2.483527E-05	-4.967054E-05	-4.967054E-05	2.483527E-05	0	
0.0468	0	-4.967054E-05	4.967054E-05	0	-2.483527E-05	0	
0.0474	4.967054E-05	0	-4.967054E-05	0	2.483527E-05	0	
0.048	-2.483527E-05	-4.967054E-05	4.967054E-05	0	0	0	
0.0486	-4.967054E-05	4.967054E-05	0	-4.967054E-05	-2.483527E-05	0	
0.0492	7.450581E-05	-4.967054E-05	0	4.967054E-05	2.483527E-05	0	
0.0498	-2.483527E-05	0	0	-4.967054E-05	0	0	
0.0504	-2.483527E-05	4.967054E-05	4.967054E-05	0	-2.483527E-05	0	
0.051	2.483527E-05	-4.967054E-05	-4.967054E-05	0	2.483527E-05	0	
0.0516	2.483527E-05	0	4.967054E-05	0	-4.967054E-05	0	
0.0522	0	0	0	0	4.967054E-05	4.967054E-05	
0.0528	2.483527E-05	-2.483527E-05	4.967054E-05	0	0	-4.967054E-05	
0.0534	-2.483527E-05	2.483527E-05	0	-4.967054E-05	-4.967054E-05	4.967054E-05	
0.054	9.934108E-05	2.483527E-05	0	4.967054E-05	0	-9.934108E-05	
0.0546	0	2.483527E-05	0	-4.967054E-05	-2.483527E-05	4.967054E-05	
0.0552	4.967054E-05	-7.450581E-05	0	-4.967054E-05	2.483527E-05	0	
0.0558	-4.967054E-05	2.483527E-05	0	4.967054E-05	0	-4.967054E-05	
0.0564	4.967054E-05	-2.483527E-05	0	-4.967054E-05	0	0	
0.057	0	0	4.967054E-05	0	2.483527E-05	0	
0.0576	-4.967054E-05	4.967054E-05	4.967054E-05	0	-4.967054E-05	0	
0.0582	4.967054E-05	-2.483527E-05	0	0	2.483527E-05	4.967054E-05	
0.0588	0	0	0	-4.967054E-05	2.483527E-05	0	
0.0594	2.483527E-05	0	4.967054E-05	4.967054E-05	-2.483527E-05	-4.967054E-05	
0.06	-4.967054E-05	-7.450581E-05	0	0	0	4.967054E-05	
0.0606	4.967054E-05	2.483527E-05	0	-4.967054E-05	0	0	
0.0612	0	0	0	-4.967054E-05	0	-4.967054E-05	
0.0618	0	-4.967054E-05	4.967054E-05	4.967054E-05	-2.483527E-05	0	
0.0624	2.483527E-05	4.967054E-05	0	-4.967054E-05	2.483527E-05	4.967054E-05	
0.063	0	-4.967054E-05	0	0	0	0	
0.0636	4.967054E-05	-2.483527E-05	4.967054E-05	0	-2.483527E-05	0	
0.0642	0	9.934108E-05	0	-4.967054E-05	0	-4.967054E-05	
0.0648	4.967054E-05	-2.483527E-05	0	0	-2.483527E-05	0	
0.0654	2.483527E-05	-4.967054E-05	4.967054E-05	-4.967054E-05	2.483527E-05	0	
0.066	2.483527E-05	0	0	0	0	-4.967054E-05	
0.06659999	2.483527E-05	0	4.967054E-05	4.967054E-05	-2.483527E-05	0	
0.0672	0	0	0	-4.967054E-05	2.483527E-05	4.967054E-05	
0.0678	-2.483527E-05	2.483527E-05	4.967054E-05	0	0	4.967054E-05	
0.0684	4.967054E-05	-2.483527E-05	0	0	-2.483527E-05	-4.967054E-05	
0.069	-2.483527E-05	0	4.967054E-05	0	2.483527E-05	0	
0.0696	2.483527E-05	-2.483527E-05	-4.967054E-05	-9.934108E-05	2.483527E-05	0	
0.0702	0	-4.967054E-05	0	0	0	0	
0.0708	2.483527E-05	0	4.967054E-05	0	-2.483527E-05	0	
0.0714	2.483527E-05	0	4.967054E-05	0	-4.967054E-05	0	
0.072	7.450581E-05	7.450581E-05	0	-4.967054E-05	0	-4.967054E-05	
0.0726	2.483527E-05	-4.967054E-05	4.967054E-05	0	-2.483527E-05	0	
0.07319999	0	0	4.967054E-05	0	0	0	
0.0738	4.967054E-05	-4.967054E-05	0	-4.967054E-05	2.483527E-05	0	
0.0744	0	0	0	0	-2.483527E-05	-4.967054E-05	
0.075	0	0	4.967054E-05	0	4.967054E-05	4.967054E-05	
0.0756	0	-2.483527E-05	4.967054E-05	0	-4.967054E-05	0	
0.0762	2.483527E-05	-2.483527E-05	0	-9.934108E-05	0	0	
0.0768	2.483527E-05	0	4.967054E-05	0	0	0	
0.0774	2.483527E-05	-4.967054E-05	-4.967054E-05	0	-4.967054E-05	0	
0.078	4.967054E-05	4.967054E-05	9.934108E-05	-4.967054E-05	2.483527E-05	-4.967054E-05	
0.0786	4.967054E-05	0	0	0	2.483527E-05	4.967054E-05	
0.0792	2.483527E-05	-2.483527E-05	0	0	0	0	
0.07979999	2.483527E-05	-2.483527E-05	9.934108E-05	-4.967054E-05	-4.967054E-05	0	
0.0804	0	2.483527E-05	0	-4.967054E-05	7.450581E-05	0	
0.081	2.483527E-05	-2.483527E-05	0	0	-2.483527E-05	-4.967054E-05	
0.0816	0	-4.967054E-05	4.967054E-05	0	2.483527E-05	0	
0.0822	2.483527E-05	2.483527E-05	4.967054E-05	-4.967054E-05	-2.483527E-05	4.967054E-05	
0.0828	7.450581E-05	-4.967054E-05	4.967054E-05	0	-4.967054E-05	0	
0.0834	2.483527E-05	2.483527E-05	0	-4.967054E-05	0	-4.967054E-05	
0.084	2.483527E-05	0	0	-4.967054E-05	2.483527E-05	0	
0.0846	4.967054E-05	-2.483527E-05	4.967054E-05	0	-2.483527E-05	-4.967054E-05	
0.0852	2.483527E-05	-2.483527E-05	4.967054E-05	0	0	0	
0.0858	4.967054E-05	0	4.967054E-05	-4.967054E-05	0	4.967054E-05	
0.08639999	-2.483527E-05	-7.450581E-05	0	-4.967054E-05	0	-4.967054E-05	
0.087	4.967054E-05	-2.483527E-05	4.967054E-05	0	0	4.967054E-05	
0.0876	0	0	4.967054E-05	-4.967054E-05	-2.483527E-05	0	
0.0882	7.450581E-05	0	0	-4.967054E-05	-4.967054E-05	-4.967054E-05	
0.0888	4.967054E-05	2.483527E-05	4.967054E-05	-4.967054E-05	2.483527E-05	0	
0.0894	2.483527E-05	0	4.967054E-05	0	2.483527E-05	0	
0.09	7.450581E-05	-7.450581E-05	0	-4.967054E-05	-2.483527E-05	-4.967054E-05	
0.0906	0	0	9.934108E-05	0	4.967054E-05	4.967054E-05	
0.09119999	0	-4.967054E-05	4.967054E-05	-4.967054E-05	-2.483527E-05	0	
0.0918	0	0	4.967054E-05	-4.967054E-05	-2.483527E-05	0	
0.0924	0.0001490116	-2.483527E-05	4.967054E-05	0	-2.483527E-05	-4.967054E-05	
0.09299999	0	0	4.967054E-05	0	2.483527E-05	0	
0.0936	7.450581E-05	-4.967054E-05	0	-9.934108E-05	-2.483527E-05	0	
0.0942	2.483527E-05	4.967054E-05	4.967054E-05	0	2.483527E-05	0	
0.0948	-2.483527E-05	-0.0001241764	4.967054E-05	-4.967054E-05	-2.483527E-05	0	
0.0954	4.967054E-05	4.967054E-05	4.967054E-05	-4.967054E-05	0	4.967054E-05	
0.096	7.450581E-05	-4.967054E-05	4.967054E-05	0	-2.483527E-05	-4.967054E-05	
0.0966	9.934108E-05	2.483527E-05	0	-9.934108E-05	0	0	
0.0972	4.967054E-05	-2.483527E-05	9.934108E-05	0	0	-4.967054E-05	
0.09779999	2.483527E-05	-4.967054E-05	0	-4.967054E-05	2.483527E-05	4.967054E-05	
0.0984	4.967054E-05	0	9.934108E-05	-4.967054E-05	0	-4.967054E-05	
0.099	0	-4.967054E-05	0	-4.967054E-05	-2.483527E-05	0	
0.09959999	4.967054E-05	-4.967054E-05	9.934108E-05	0	-2.483527E-05	4.967054E-05	
0.1002	0.0001241764	2.483527E-05	0	-4.967054E-05	0	-4.967054E-05	
0.1008	2.483527E-05	-2.483527E-05	9.934108E-05	-4.967054E-05	0	0	
0.1014	4.967054E-05	0	0	-4.967054E-05	2.483527E-05	0	
0.102	4.967054E-05	-4.967054E-05	9.934108E-05	0	0	0	
0.1026	2.483527E-05	-2.483527E-05	4.967054E-05	-4.967054E-05	0	0	
0.1032	2.483527E-05	-4.967054E-05	4.967054E-05	-4.967054E-05	-4.967054E-05	0	
0.1038	9.934108E-05	0	4.967054E-05	-4.967054E-05	0	-4.967054E-05	
0.1044	9.934108E-05	0	4.967054E-05	-4.967054E-05	2.483527E-05	4.967054E-05	
0.105	7.450581E-05	-7.450581E-05	9.934108E-05	-4.967054E-05	0	-4.967054E-05	
0.1056	2.483527E-05	-2.483527E-05	0	-4.967054E-05	-2.483527E-05	0	
0.1062	0	-4.967054E-05	9.934108E-05	-4.967054E-05	0	0	
0.1068	0.0001490116	0	9.934108E-05	-4.967054E-05	-2.483527E-05	4.967054E-05	
