Time	(21) S1i	(22) S2i	(23) S3i	(24) S4i	
0	-0.06	-0.06	-0.06	-0.06	
0.0002	-0.06	-0.06	-0.06	-0.06	
0.0004	-0.06	-0.06	-0.06	-0.06	
0.0006	-0.06	-0.06	-0.06	-0.06	
0.0008	-0.06	-0.06	-0.06	-0.06	
0.0009999999	-0.06	-0.06	-0.06	-0.06	
0.0012	-0.06	-0.06	-0.06	-0.06	
0.0014	-0.06	-0.06	-0.06	-0.06	
0.0016	-0.06	-0.06	-0.06	-0.06	
0.0018	-0.06	-0.06	-0.06	-0.06	
0.002	-0.06	-0.06	-0.06	-0.06	
0.0022	-0.06	-0.06	-0.06	-0.06	
0.0024	-0.06	-0.06	-0.06	-0.06	
0.0026	-0.06	-0.06	-0.06	-0.06	
0.0028	-0.06	-0.06	-0.06	-0.06	
0.003	-0.06	-0.06	-0.06	-0.06	
0.0032	-0.06	-0.06	-0.06	-0.06	
0.0034	-0.06	-0.06	-0.05999999	-0.06	
0.0036	-0.06000001	-0.06	-0.05999999	-0.06	
0.0038	-0.06000001	-0.06	-0.05999999	-0.06	
0.004	-0.06000001	-0.06	-0.05999999	-0.06	
0.0042	-0.06000001	-0.06	-0.05999998	-0.06	
0.0044	-0.06000002	-0.06	-0.05999998	-0.05999999	
0.0046	-0.06000002	-0.06000001	-0.05999998	-0.05999999	
0.0048	-0.06000003	-0.06000001	-0.05999997	-0.05999999	
0.005	-0.06000004	-0.06000001	-0.05999996	-0.05999999	
0.0052	-0.06000005	-0.06000001	-0.05999995	-0.05999999	
0.0054	-0.06000006	-0.06000001	-0.05999994	-0.05999999	
0.0056	-0.06000007	-0.06000001	-0.05999993	-0.05999999	
0.0058	-0.06000008	-0.06000001	-0.05999992	-0.05999999	
0.006	-0.0600001	-0.06000001	-0.05999991	-0.05999998	
0.0062	-0.06000011	-0.06000002	-0.05999989	-0.05999998	
0.0064	-0.06000013	-0.06000002	-0.05999987	-0.05999998	
0.0066	-0.06000015	-0.06000002	-0.05999985	-0.05999998	
0.0068	-0.06000017	-0.06000002	-0.05999983	-0.05999997	
0.007	-0.06000019	-0.06000003	-0.05999981	-0.05999997	
0.0072	-0.06000022	-0.06000003	-0.05999978	-0.05999997	
0.0074	-0.06000024	-0.06000004	-0.05999976	-0.05999996	
0.0076	-0.06000027	-0.06000004	-0.05999973	-0.05999996	
0.0078	-0.0600003	-0.06000005	-0.0599997	-0.05999995	
0.007999999	-0.06000033	-0.06000005	-0.05999967	-0.05999995	
0.0082	-0.06000037	-0.06000005	-0.05999963	-0.05999995	
0.0084	-0.0600004	-0.06000006	-0.0599996	-0.05999994	
0.008599999	-0.06000044	-0.06000007	-0.05999956	-0.05999994	
0.0088	-0.06000048	-0.06000007	-0.05999952	-0.05999993	
0.009	-0.06000052	-0.06000008	-0.05999948	-0.05999992	
0.0092	-0.06000056	-0.06000008	-0.05999944	-0.05999992	
0.0094	-0.06000061	-0.06000009	-0.0599994	-0.05999991	
0.0096	-0.06000065	-0.0600001	-0.05999935	-0.05999991	
0.0098	-0.0600007	-0.0600001	-0.0599993	-0.0599999	
0.01	-0.06000075	-0.06000011	-0.05999925	-0.05999989	
0.0102	-0.0600008	-0.06000012	-0.0599992	-0.05999988	
0.0104	-0.06000085	-0.06000013	-0.05999915	-0.05999988	
0.0106	-0.0600009	-0.06000013	-0.0599991	-0.05999987	
0.0108	-0.06000096	-0.06000014	-0.05999904	-0.05999986	
0.011	-0.06000102	-0.06000015	-0.05999899	-0.05999985	
0.0112	-0.06000108	-0.06000016	-0.05999893	-0.05999984	
0.0114	-0.06000113	-0.06000017	-0.05999887	-0.05999983	
0.0116	-0.06000119	-0.06000017	-0.05999881	-0.05999982	
0.0118	-0.06000126	-0.06000018	-0.05999874	-0.05999982	
0.012	-0.06000132	-0.06000019	-0.05999868	-0.05999981	
0.0122	-0.06000138	-0.0600002	-0.05999862	-0.0599998	
0.0124	-0.06000145	-0.06000021	-0.05999855	-0.05999979	
0.0126	-0.06000151	-0.06000022	-0.05999849	-0.05999978	
0.0128	-0.06000158	-0.06000023	-0.05999842	-0.05999977	
0.013	-0.06000165	-0.06000024	-0.05999835	-0.05999976	
0.0132	-0.06000172	-0.06000025	-0.05999828	-0.05999975	
0.0134	-0.06000179	-0.06000026	-0.05999821	-0.05999974	
0.0136	-0.06000186	-0.06000027	-0.05999814	-0.05999973	
0.0138	-0.06000194	-0.06000028	-0.05999807	-0.05999972	
0.014	-0.06000201	-0.06000029	-0.05999799	-0.05999971	
0.0142	-0.06000208	-0.0600003	-0.05999792	-0.0599997	
0.0144	-0.06000216	-0.06000032	-0.05999785	-0.05999969	
0.0146	-0.06000223	-0.06000032	-0.05999777	-0.05999967	
0.0148	-0.0600023	-0.06000033	-0.0599977	-0.05999966	
0.015	-0.06000238	-0.06000035	-0.05999762	-0.05999965	
0.0152	-0.06000246	-0.06000036	-0.05999754	-0.05999964	
0.0154	-0.06000254	-0.06000037	-0.05999747	-0.05999963	
0.0156	-0.06000261	-0.06000038	-0.05999739	-0.05999962	
0.0158	-0.06000269	-0.06000039	-0.05999731	-0.05999961	
0.016	-0.06000277	-0.0600004	-0.05999723	-0.0599996	
0.0162	-0.06000285	-0.06000042	-0.05999715	-0.05999959	
0.0164	-0.06000293	-0.06000043	-0.05999707	-0.05999957	
0.0166	-0.060003	-0.06000044	-0.05999699	-0.05999956	
0.0168	-0.06000309	-0.06000045	-0.05999691	-0.05999955	
0.017	-0.06000317	-0.06000046	-0.05999683	-0.05999954	
0.0172	-0.06000325	-0.06000047	-0.05999675	-0.05999953	
0.0174	-0.06000333	-0.06000048	-0.05999667	-0.05999951	
0.0176	-0.06000341	-0.06000049	-0.05999659	-0.0599995	
0.0178	-0.06000349	-0.06000051	-0.05999651	-0.05999949	
0.018	-0.06000357	-0.06000052	-0.05999643	-0.05999948	
0.0182	-0.06000365	-0.06000053	-0.05999634	-0.05999947	
0.0184	-0.06000374	-0.06000054	-0.05999626	-0.05999945	
0.0186	-0.06000382	-0.06000055	-0.05999618	-0.05999944	
0.0188	-0.0600039	-0.06000057	-0.0599961	-0.05999943	
0.019	-0.06000398	-0.06000058	-0.05999602	-0.05999942	
0.0192	-0.06000407	-0.06000059	-0.05999593	-0.05999941	
0.0194	-0.06000415	-0.0600006	-0.05999585	-0.0599994	
0.0196	-0.06000423	-0.06000062	-0.05999577	-0.05999938	
0.0198	-0.06000432	-0.06000063	-0.05999568	-0.05999937	
0.02	-0.0600044	-0.06000064	-0.0599956	-0.05999936	
0.0202	-0.06000448	-0.06000065	-0.05999552	-0.05999935	
0.0204	-0.06000457	-0.06000067	-0.05999544	-0.05999934	
0.0206	-0.06000465	-0.06000068	-0.05999535	-0.05999932	
0.0208	-0.06000473	-0.06000069	-0.05999527	-0.05999931	
0.021	-0.06000482	-0.0600007	-0.05999519	-0.0599993	
0.0212	-0.0600049	-0.06000071	-0.0599951	-0.05999929	
0.0214	-0.06000498	-0.06000073	-0.05999502	-0.05999928	
0.0216	-0.06000507	-0.06000074	-0.05999494	-0.05999926	
0.0218	-0.06000515	-0.06000075	-0.05999485	-0.05999925	
0.022	-0.06000523	-0.06000076	-0.05999477	-0.05999924	
0.0222	-0.06000531	-0.06000077	-0.05999468	-0.05999923	
0.0224	-0.0600054	-0.06000078	-0.0599946	-0.05999921	
0.0226	-0.06000549	-0.0600008	-0.05999452	-0.0599992	
0.0228	-0.06000557	-0.06000081	-0.05999443	-0.05999919	
0.023	-0.06000565	-0.06000082	-0.05999435	-0.05999918	
0.0232	-0.06000574	-0.06000084	-0.05999427	-0.05999916	
0.0234	-0.06000582	-0.06000085	-0.05999418	-0.05999915	
0.0236	-0.0600059	-0.06000086	-0.0599941	-0.05999914	
0.0238	-0.06000599	-0.06000087	-0.05999401	-0.05999913	
0.024	-0.06000607	-0.06000089	-0.05999393	-0.05999912	
0.0242	-0.06000616	-0.0600009	-0.05999384	-0.0599991	
0.0244	-0.06000624	-0.06000091	-0.05999376	-0.05999909	
0.0246	-0.06000632	-0.06000092	-0.05999368	-0.05999908	
0.0248	-0.06000641	-0.06000093	-0.05999359	-0.05999907	
0.025	-0.0600065	-0.06000094	-0.05999351	-0.05999905	
0.0252	-0.06000658	-0.06000096	-0.05999342	-0.05999904	
0.0254	-0.06000666	-0.06000097	-0.05999334	-0.05999903	
0.0256	-0.06000675	-0.06000098	-0.05999325	-0.05999902	
0.0258	-0.06000683	-0.060001	-0.05999317	-0.059999	
0.026	-0.06000692	-0.06000101	-0.05999308	-0.05999899	
0.0262	-0.060007	-0.06000102	-0.059993	-0.05999898	
0.0264	-0.06000709	-0.06000103	-0.05999291	-0.05999897	
0.0266	-0.06000717	-0.06000105	-0.05999283	-0.05999896	
0.0268	-0.06000726	-0.06000106	-0.05999274	-0.05999894	
0.027	-0.06000734	-0.06000107	-0.05999266	-0.05999893	
0.0272	-0.06000743	-0.06000108	-0.05999257	-0.05999892	
0.0274	-0.06000751	-0.06000109	-0.05999249	-0.0599989	
0.0276	-0.0600076	-0.06000111	-0.0599924	-0.05999889	
0.0278	-0.06000768	-0.06000112	-0.05999232	-0.05999888	
0.028	-0.06000777	-0.06000113	-0.05999223	-0.05999887	
0.0282	-0.06000786	-0.06000115	-0.05999215	-0.05999885	
0.0284	-0.06000794	-0.06000116	-0.05999206	-0.05999884	
0.0286	-0.06000803	-0.06000117	-0.05999197	-0.05999883	
0.0288	-0.06000811	-0.06000118	-0.05999188	-0.05999882	
0.029	-0.0600082	-0.06000119	-0.0599918	-0.0599988	
0.0292	-0.06000829	-0.06000121	-0.05999171	-0.05999879	
0.0294	-0.06000837	-0.06000122	-0.05999162	-0.05999878	
0.0296	-0.06000846	-0.06000123	-0.05999154	-0.05999877	
0.0298	-0.06000855	-0.06000125	-0.05999145	-0.05999875	
0.03	-0.06000863	-0.06000126	-0.05999136	-0.05999874	
0.0302	-0.06000872	-0.06000127	-0.05999128	-0.05999873	
0.0304	-0.06000881	-0.06000128	-0.05999119	-0.05999872	
0.0306	-0.0600089	-0.0600013	-0.0599911	-0.0599987	
0.0308	-0.06000899	-0.06000131	-0.05999101	-0.05999869	
0.031	-0.06000907	-0.06000132	-0.05999092	-0.05999868	
0.0312	-0.06000916	-0.06000134	-0.05999084	-0.05999867	
0.0314	-0.06000925	-0.06000135	-0.05999075	-0.05999865	
0.0316	-0.06000934	-0.06000136	-0.05999066	-0.05999864	
0.0318	-0.06000943	-0.06000137	-0.05999057	-0.05999862	
0.032	-0.06000952	-0.06000139	-0.05999048	-0.05999861	
0.0322	-0.06000961	-0.0600014	-0.05999039	-0.0599986	
0.0324	-0.0600097	-0.06000141	-0.0599903	-0.05999859	
0.0326	-0.06000979	-0.06000143	-0.05999021	-0.05999857	
0.0328	-0.06000988	-0.06000144	-0.05999012	-0.05999856	
0.033	-0.06000997	-0.06000145	-0.05999003	-0.05999855	
0.0332	-0.06001006	-0.06000147	-0.05998994	-0.05999853	
0.0334	-0.06001015	-0.06000148	-0.05998985	-0.05999852	
0.0336	-0.06001024	-0.06000149	-0.05998976	-0.05999851	
0.0338	-0.06001033	-0.0600015	-0.05998967	-0.05999849	
0.034	-0.06001042	-0.06000152	-0.05998958	-0.05999848	
0.0342	-0.06001052	-0.06000153	-0.05998949	-0.05999847	
0.0344	-0.0600106	-0.06000154	-0.05998939	-0.05999846	
0.0346	-0.0600107	-0.06000156	-0.0599893	-0.05999844	
0.0348	-0.06001079	-0.06000157	-0.05998921	-0.05999843	
0.035	-0.06001088	-0.06000159	-0.05998912	-0.05999842	
0.0352	-0.06001098	-0.0600016	-0.05998902	-0.0599984	
0.0354	-0.06001107	-0.06000161	-0.05998893	-0.05999839	
0.0356	-0.06001116	-0.06000163	-0.05998884	-0.05999837	
0.0358	-0.06001126	-0.06000164	-0.05998874	-0.05999836	
0.036	-0.06001135	-0.06000165	-0.05998865	-0.05999835	
0.0362	-0.06001145	-0.06000167	-0.05998855	-0.05999833	
0.0364	-0.06001154	-0.06000168	-0.05998846	-0.05999832	
0.0366	-0.06001164	-0.06000169	-0.05998836	-0.05999831	
0.0368	-0.06001173	-0.06000171	-0.05998827	-0.05999829	
0.037	-0.06001183	-0.06000172	-0.05998817	-0.05999828	
0.0372	-0.06001192	-0.06000173	-0.05998808	-0.05999827	
0.0374	-0.06001202	-0.06000175	-0.05998798	-0.05999825	
0.0376	-0.06001211	-0.06000176	-0.05998789	-0.05999824	
0.0378	-0.06001221	-0.06000178	-0.05998779	-0.05999823	
0.038	-0.06001231	-0.06000179	-0.05998769	-0.05999821	
0.0382	-0.0600124	-0.06000181	-0.0599876	-0.0599982	
0.0384	-0.0600125	-0.06000182	-0.0599875	-0.05999818	
0.0386	-0.0600126	-0.06000183	-0.0599874	-0.05999817	
0.0388	-0.06001269	-0.06000185	-0.0599873	-0.05999815	
0.039	-0.0600128	-0.06000186	-0.05998721	-0.05999814	
0.0392	-0.06001289	-0.06000188	-0.05998711	-0.05999812	
0.0394	-0.06001299	-0.06000189	-0.05998701	-0.05999811	
0.0396	-0.06001309	-0.0600019	-0.05998691	-0.0599981	
0.0398	-0.06001319	-0.06000192	-0.05998681	-0.05999808	
0.04	-0.06001329	-0.06000193	-0.05998671	-0.05999807	
0.0402	-0.06001339	-0.06000195	-0.05998661	-0.05999805	
0.0404	-0.06001349	-0.06000196	-0.05998651	-0.05999804	
0.0406	-0.06001359	-0.06000197	-0.05998641	-0.05999802	
0.0408	-0.06001369	-0.06000199	-0.05998631	-0.05999801	
