Time	Back_Left_Ankle	Back_Left_Hip_Joint	Back_Left_Knee_Joint	
0	0	0	0	
0.0006	0	0	0	
0.0012	5.715064E-16	1.778981E-18	3.331988E-18	
0.0018	6.256973E-09	1.926948E-10	-4.60161E-10	
0.0024	5.501499E-06	4.073187E-08	-2.27453E-06	
0.003	5.899592E-06	-5.529408E-09	-2.461723E-06	
0.0036	6.457101E-06	7.254685E-08	-2.527149E-06	
0.0042	6.779229E-06	1.592124E-07	-2.509676E-06	
0.0048	6.893625E-06	1.929019E-07	-2.470464E-06	
0.0054	6.89734E-06	1.170572E-07	-2.473455E-06	
0.006	6.89951E-06	-1.223013E-07	-2.572405E-06	
0.0066	7.008441E-06	-5.742655E-07	-2.807803E-06	
0.0072	7.323921E-06	-1.280017E-06	-3.205068E-06	
0.0078	7.929156E-06	-2.267028E-06	-3.77084E-06	
0.0084	8.884619E-06	-3.555746E-06	-4.501019E-06	
0.009	1.023471E-05	-5.159635E-06	-5.383735E-06	
0.0096	1.200932E-05	-7.086003E-06	-6.401768E-06	
0.0102	1.421777E-05	-9.327986E-06	-7.526632E-06	
0.0108	1.685194E-05	-1.187587E-05	-8.729211E-06	
0.0114	1.989625E-05	-1.471795E-05	-9.982889E-06	
0.012	2.333065E-05	-1.78412E-05	-1.126431E-05	
0.0126	2.713269E-05	-2.123204E-05	-1.25537E-05	
0.0132	3.12788E-05	-2.487684E-05	-1.383485E-05	
0.0138	3.574534E-05	-2.876245E-05	-1.509499E-05	
0.0144	4.050689E-05	-3.287415E-05	-1.632235E-05	
0.015	4.553466E-05	-3.719556E-05	-1.750549E-05	
0.0156	5.080105E-05	-4.171294E-05	-1.863724E-05	
0.0162	5.628236E-05	-4.641465E-05	-1.971422E-05	
0.0168	6.195866E-05	-5.129109E-05	-2.073597E-05	
0.0174	6.781357E-05	-5.633447E-05	-2.170424E-05	
0.018	7.383379E-05	-6.153873E-05	-2.262228E-05	
0.0186	8.000893E-05	-6.689931E-05	-2.349443E-05	
0.0192	8.63311E-05	-7.241299E-05	-2.432566E-05	
0.0198	9.27945E-05	-7.807773E-05	-2.512126E-05	
0.0204	9.939518E-05	-8.389257E-05	-2.58866E-05	
0.021	0.0001061308	-8.985744E-05	-2.662698E-05	
0.0216	0.0001130003	-9.597308E-05	-2.734749E-05	
0.0222	0.0001200038	-0.0001022409	-2.805293E-05	
0.0228	0.0001271424	-0.0001086629	-2.874778E-05	
0.0234	0.0001344179	-0.0001152417	-2.943615E-05	
0.024	0.0001418328	-0.0001219801	-3.012179E-05	
0.0246	0.0001493902	-0.0001288817	-3.080813E-05	
0.0252	0.0001570938	-0.0001359501	-3.149822E-05	
0.0258	0.0001649475	-0.0001431895	-3.219487E-05	
0.0264	0.0001729558	-0.0001506042	-3.290057E-05	
0.027	0.0001811234	-0.0001581988	-3.361755E-05	
0.0276	0.0001894554	-0.0001659782	-3.434789E-05	
0.0282	0.0001979573	-0.0001739474	-3.509341E-05	
0.0288	0.0002066344	-0.0001821119	-3.585576E-05	
0.0294	0.0002154927	-0.000190477	-3.66365E-05	
0.03	0.0002245383	-0.0001990485	-3.743704E-05	
0.0306	0.0002337775	-0.0002078324	-3.825865E-05	
0.0312	0.0002432168	-0.0002168347	-3.910259E-05	
0.0318	0.0002528632	-0.0002260617	-3.997E-05	
0.0324	0.0002627236	-0.0002355198	-4.086196E-05	
0.033	0.0002728051	-0.0002452157	-4.17795E-05	
0.0336	0.0002831139	-0.0002551551	-4.272249E-05	
0.0342	0.0002936539	-0.0002653426	-4.368971E-05	
0.0348	0.000304429	-0.0002757838	-4.468056E-05	
0.0354	0.0003154443	-0.0002864843	-4.569509E-05	
0.036	0.0003267053	-0.0002974505	-4.673382E-05	
0.0366	0.0003382184	-0.0003086889	-4.779752E-05	
0.0372	0.0003499904	-0.0003202065	-4.888722E-05	
0.0378	0.0003620287	-0.0003320105	-5.000404E-05	
0.0384	0.0003743417	-0.0003441084	-5.114922E-05	
0.039	0.0003869374	-0.0003565079	-5.232393E-05	
0.0396	0.0003998243	-0.0003692169	-5.352933E-05	
0.0402	0.0004130117	-0.0003822437	-5.476662E-05	
0.0408	0.0004265089	-0.0003955964	-5.603695E-05	
0.0414	0.0004403253	-0.0004092838	-5.734135E-05	
0.042	0.000454471	-0.0004233143	-5.868089E-05	
0.0426	0.000468956	-0.000437697	-6.005657E-05	
0.0432	0.0004837907	-0.0004524406	-6.146933E-05	
0.0438	0.0004989858	-0.0004675545	-6.292007E-05	
0.0444	0.0005145518	-0.0004830479	-6.440967E-05	
0.045	0.0005305	-0.0004989301	-6.593896E-05	
0.0456	0.0005468414	-0.0005152108	-6.750874E-05	
0.0462	0.0005635876	-0.0005318997	-6.911978E-05	
0.0468	0.0005807501	-0.0005490065	-7.077286E-05	
0.0474	0.0005983409	-0.0005665413	-7.246873E-05	
0.048	0.0006163721	-0.0005845142	-7.420816E-05	
0.0486	0.0006348558	-0.0006029354	-7.599177E-05	
0.0492	0.0006538046	-0.0006218152	-7.782035E-05	
0.0498	0.0006732313	-0.000641164	-7.969455E-05	
0.0504	0.0006931485	-0.0006609926	-8.161503E-05	
0.051	0.0007135693	-0.0006813117	-8.358245E-05	
0.0516	0.000734507	-0.000702132	-8.559747E-05	
0.0522	0.0007559754	-0.0007234645	-8.76608E-05	
0.0528	0.000777988	-0.0007453204	-8.977306E-05	
0.0534	0.0008005585	-0.0007677109	-9.193485E-05	
0.054	0.0008237014	-0.000790647	-9.414685E-05	
0.0546	0.0008474307	-0.0008141405	-9.640965E-05	
0.0552	0.0008717614	-0.0008382026	-9.872392E-05	
0.0558	0.0008967076	-0.0008628453	-0.0001010902	
0.0564	0.0009222847	-0.0008880799	-0.0001035092	
0.057	0.0009485078	-0.0009139187	-0.0001059814	
0.0576	0.0009753919	-0.0009403733	-0.0001085074	
0.0582	0.001002952	-0.0009674558	-0.0001110878	
0.0588	0.001031205	-0.0009951785	-0.0001137231	
0.0594	0.001060166	-0.001023553	-0.000116414	
0.06	0.001089852	-0.001052593	-0.0001191609	
0.0606	0.001120278	-0.00108231	-0.0001219645	
0.0612	0.00115146	-0.001112716	-0.0001248251	
0.0618	0.001183417	-0.001143824	-0.0001277435	
0.0624	0.001216164	-0.001175647	-0.00013072	
0.063	0.001249718	-0.001208197	-0.0001337552	
0.0636	0.001284097	-0.001241488	-0.0001368494	
0.0642	0.001319319	-0.001275532	-0.0001400034	
0.0648	0.001355399	-0.001310341	-0.0001432174	
0.0654	0.001392357	-0.00134593	-0.000146492	
0.066	0.00143021	-0.001382311	-0.0001498275	
0.06659999	0.001468977	-0.001419497	-0.0001532245	
0.0672	0.001508675	-0.001457501	-0.0001566833	
0.0678	0.001549323	-0.001496336	-0.0001602043	
0.0684	0.001590938	-0.001536017	-0.0001637879	
