Time	Back_Left_Ankle_Extensor	Back_Left_Ankle_Flexor	Back_Left_Hip_Extensor	Back_Left_Hip_Flexor	Back_Left_Knee_Extensor	Back_Left_Knee_Flexor	
0	0	0	0	0	0	0	
0.0006	0	1.483029E-05	0	0	0	1.51903E-05	
0.0012	0.007691215	0.007741107	0.0102685	0.01025358	0.007694789	0.007744774	
0.0018	0.02141382	0.02130246	0.02851908	0.02828088	0.02146486	0.02131192	
0.0024	0.04139158	0.04068838	0.05509626	0.05404286	0.04141217	0.04070623	
0.003	0.06651638	0.06471139	0.08851329	0.08597229	0.06655331	0.06473906	
0.0036	0.09505434	0.09166212	0.1264659	0.1217965	0.09510943	0.09170081	
0.0042	0.1252492	0.1198776	0.1666207	0.1593031	0.1253237	0.119928	
0.0048	0.1556676	0.1480413	0.2070719	0.1967411	0.1557617	0.1481033	
0.0054	0.1853018	0.1752586	0.2464818	0.2329211	0.1854156	0.1753324	
0.006	0.2135423	0.2010118	0.2840385	0.2671531	0.213674	0.2010958	
0.0066	0.2400856	0.2250659	0.3193393	0.2991255	0.2402347	0.2251601	
0.0072	0.2648435	0.247379	0.3522671	0.3287826	0.2650081	0.2474824	
0.0078	0.2878634	0.2680266	0.3828852	0.3562243	0.2880426	0.2681385	
0.0084	0.3092702	0.2871478	0.4113588	0.381636	0.3094634	0.2872677	
0.009	0.3292268	0.3049104	0.4379049	0.4052407	0.3294324	0.3050375	
0.0096	0.3479084	0.321488	0.4627563	0.4272692	0.3481255	0.321622	
0.0102	0.3654874	0.3370486	0.486143	0.4479458	0.365716	0.3371897	
0.0108	0.3821288	0.3517489	0.5082824	0.4674773	0.3823673	0.3518957	
0.0114	0.397981	0.3657296	0.5293736	0.4860527	0.3982291	0.3658821	
0.012	0.4131791	0.3791173	0.5495955	0.5038386	0.4134372	0.3792758	
0.0126	0.4278438	0.3920237	0.5691086	0.520985	0.4281114	0.3921879	
0.0132	0.4420826	0.4045489	0.5880549	0.5376235	0.4423589	0.404718	
0.0138	0.4559898	0.416779	0.6065608	0.5538705	0.4562751	0.416954	
0.0144	0.4696513	0.4287935	0.6247395	0.5698301	0.4699449	0.4289728	
0.015	0.4831415	0.4406606	0.6426914	0.5855941	0.4834434	0.4408453	
0.0156	0.4965283	0.4524424	0.6605058	0.6012453	0.496839	0.4526323	
0.0162	0.509873	0.4641954	0.678264	0.6168574	0.5101922	0.4643902	
0.0168	0.5232306	0.4759695	0.6960391	0.632498	0.5235578	0.4761695	
0.0174	0.5366519	0.4878114	0.713898	0.6482281	0.5369868	0.488016	
0.018	0.5501814	0.499763	0.7319017	0.6641046	0.5505248	0.4999727	
0.0186	0.5638625	0.5118635	0.7501065	0.6801797	0.5642143	0.5120788	
0.0192	0.5777341	0.5241497	0.7685646	0.6965006	0.5780947	0.5243698	
0.0198	0.5918328	0.5366548	0.7873245	0.7131135	0.5922022	0.53688	
0.0204	0.6061931	0.5494112	0.8064318	0.7300608	0.6065714	0.5496421	
0.021	0.6208469	0.5624489	0.8259292	0.7473824	0.6212344	0.5626855	
