Time	Back_Left_Ankle_Extensor	Back_Left_Ankle_Flexor	Back_Left_Hip_Extensor	Back_Left_Hip_Flexor	Back_Left_Knee_Extensor	Back_Left_Knee_Flexor	
0	0	0	0	0	0	0	
0.0006	0	0	0	0	-2.483527E-05	0	
0.0012	7.450581E-05	2.483527E-05	0	0	0	0	
0.0018	0	0	-0.001788139	0.001788139	0.005935629	0	
0.0024	-4.967054E-05	-4.967054E-05	0.0003476938	-0.0003476938	-0.007053216	0	
0.003	-2.483527E-05	2.483527E-05	0.0002483527	-0.0002980233	0.0001986822	0	
0.0036	4.967054E-05	2.483527E-05	0.0002483527	-0.0001986822	0.0001986822	0	
0.0042	0	0	0.0001986822	-0.0001986822	0.0001490116	0	
0.0048	2.483527E-05	0	0.0001490116	-0.0001490116	0.0001738469	0	
0.0054	-9.934108E-05	-4.967054E-05	9.934108E-05	-9.934108E-05	7.450581E-05	4.967054E-05	
0.006	0	2.483527E-05	9.934108E-05	-9.934108E-05	4.967054E-05	-4.967054E-05	
0.0066	0	0	4.967054E-05	-9.934108E-05	9.934108E-05	4.967054E-05	
0.0072	0	0	4.967054E-05	-4.967054E-05	0	0	
0.0078	0	0	9.934108E-05	-4.967054E-05	2.483527E-05	0	
0.0084	0	0	0	-4.967054E-05	7.450581E-05	0	
0.009	4.967054E-05	4.967054E-05	4.967054E-05	0	2.483527E-05	0	
0.0096	4.967054E-05	0	4.967054E-05	-4.967054E-05	2.483527E-05	0	
0.0102	-7.450581E-05	-4.967054E-05	0	0	0	4.967054E-05	
0.0108	7.450581E-05	2.483527E-05	0	-4.967054E-05	0	-4.967054E-05	
0.0114	0	0	4.967054E-05	4.967054E-05	-4.967054E-05	-4.967054E-05	
0.012	-2.483527E-05	0	0	-4.967054E-05	7.450581E-05	4.967054E-05	
0.0126	-2.483527E-05	-4.967054E-05	4.967054E-05	0	2.483527E-05	0	
0.0132	2.483527E-05	7.450581E-05	0	0	0	0	
0.0138	-4.967054E-05	-7.450581E-05	-4.967054E-05	-4.967054E-05	0	4.967054E-05	
0.0144	4.967054E-05	4.967054E-05	0	0	2.483527E-05	-9.934108E-05	
0.015	0	0	4.967054E-05	0	-2.483527E-05	4.967054E-05	
0.0156	-4.967054E-05	-4.967054E-05	0	4.967054E-05	2.483527E-05	0	
0.0162	0	2.483527E-05	0	0	2.483527E-05	0	
0.0168	0	-2.483527E-05	0	0	-4.967054E-05	0	
0.0174	9.934108E-05	2.483527E-05	0	-4.967054E-05	0	-4.967054E-05	
0.018	-2.483527E-05	0	0	0	-2.483527E-05	0	
0.0186	0	-2.483527E-05	0	4.967054E-05	0	4.967054E-05	
0.0192	0	7.450581E-05	0	-4.967054E-05	2.483527E-05	0	
0.0198	-2.483527E-05	0	0	0	0	-4.967054E-05	
0.0204	2.483527E-05	0	0	0	0	4.967054E-05	
0.021	0	-2.483527E-05	0	0	0	0	
0.0216	-2.483527E-05	2.483527E-05	4.967054E-05	0	0	0	
0.0222	-4.967054E-05	-7.450581E-05	0	0	2.483527E-05	0	
0.0228	4.967054E-05	0	-4.967054E-05	-4.967054E-05	0	0	
0.0234	0	2.483527E-05	0	0	-2.483527E-05	0	
0.024	0	-2.483527E-05	0	4.967054E-05	0	-4.967054E-05	
0.0246	0	-2.483527E-05	4.967054E-05	0	0	0	
0.0252	2.483527E-05	0	0	-4.967054E-05	0	4.967054E-05	
0.0258	-2.483527E-05	2.483527E-05	4.967054E-05	4.967054E-05	2.483527E-05	0	
0.0264	0	-4.967054E-05	-9.934108E-05	-4.967054E-05	0	0	
0.027	-2.483527E-05	7.450581E-05	4.967054E-05	0	0	-4.967054E-05	
0.0276	7.450581E-05	-4.967054E-05	0	0	0	4.967054E-05	
0.0282	0	0	4.967054E-05	0	0	-4.967054E-05	
0.0288	0	0	0	0	0	9.934108E-05	
0.0294	-4.967054E-05	-2.483527E-05	-4.967054E-05	0	0	-9.934108E-05	
0.03	2.483527E-05	2.483527E-05	4.967054E-05	0	0	0	
0.0306	-2.483527E-05	2.483527E-05	0	0	0	0	
0.0312	2.483527E-05	-2.483527E-05	0	0	0	4.967054E-05	
0.0318	2.483527E-05	0	0	0	0	0	
0.0324	0	-2.483527E-05	0	0	0	0	
0.033	0	2.483527E-05	0	0	0	0	
0.0336	0	0	0	0	-2.483527E-05	0	
0.0342	0	-2.483527E-05	0	-4.967054E-05	4.967054E-05	0	
0.0348	2.483527E-05	2.483527E-05	0	4.967054E-05	0	0	
0.0354	2.483527E-05	0	4.967054E-05	0	-7.450581E-05	-4.967054E-05	
0.036	2.483527E-05	2.483527E-05	0	0	-2.483527E-05	0	
0.0366	2.483527E-05	-2.483527E-05	-4.967054E-05	-4.967054E-05	2.483527E-05	0	
0.0372	-4.967054E-05	2.483527E-05	4.967054E-05	0	0	0	
0.0378	4.967054E-05	2.483527E-05	0	0	-2.483527E-05	0	
0.0384	0	-2.483527E-05	0	-4.967054E-05	2.483527E-05	0	
0.039	0	-2.483527E-05	0	4.967054E-05	0	0	
0.0396	0	0	4.967054E-05	0	0	0	
0.0402	0	0	-4.967054E-05	-4.967054E-05	4.967054E-05	0	
0.0408	0	2.483527E-05	4.967054E-05	0	-2.483527E-05	0	
0.0414	2.483527E-05	-2.483527E-05	0	4.967054E-05	-4.967054E-05	0	
0.042	-2.483527E-05	2.483527E-05	0	-4.967054E-05	2.483527E-05	4.967054E-05	
0.0426	0	-2.483527E-05	0	0	2.483527E-05	-4.967054E-05	
0.0432	4.967054E-05	0	0	0	-4.967054E-05	0	
0.0438	0	0	0	0	2.483527E-05	0	
0.0444	-2.483527E-05	-2.483527E-05	0	0	0	0	
0.045	0	2.483527E-05	4.967054E-05	0	0	0	
0.0456	7.450581E-05	-2.483527E-05	-4.967054E-05	0	0	0	
0.0462	-4.967054E-05	-2.483527E-05	9.934108E-05	0	0	0	
0.0468	0	2.483527E-05	-4.967054E-05	-4.967054E-05	-2.483527E-05	0	
0.0474	4.967054E-05	0	4.967054E-05	0	2.483527E-05	0	
0.048	-4.967054E-05	-4.967054E-05	-4.967054E-05	0	0	4.967054E-05	
0.0486	0	2.483527E-05	4.967054E-05	0	2.483527E-05	-4.967054E-05	
0.0492	0	0	0	-4.967054E-05	-2.483527E-05	0	
0.0498	2.483527E-05	-4.967054E-05	0	4.967054E-05	2.483527E-05	0	
0.0504	-2.483527E-05	0	0	-4.967054E-05	-2.483527E-05	0	
0.051	4.967054E-05	0	4.967054E-05	4.967054E-05	0	-4.967054E-05	
0.0516	-2.483527E-05	2.483527E-05	-4.967054E-05	-4.967054E-05	2.483527E-05	4.967054E-05	
0.0522	2.483527E-05	-2.483527E-05	4.967054E-05	0	-4.967054E-05	0	
0.0528	0	2.483527E-05	0	0	4.967054E-05	0	
0.0534	0	-4.967054E-05	4.967054E-05	0	-4.967054E-05	0	
0.054	7.450581E-05	7.450581E-05	0	0	-2.483527E-05	0	
0.0546	2.483527E-05	-4.967054E-05	0	-4.967054E-05	2.483527E-05	0	
0.0552	0	4.967054E-05	0	4.967054E-05	0	0	
0.0558	0	0	0	-4.967054E-05	0	0	
0.0564	0	-2.483527E-05	4.967054E-05	0	-2.483527E-05	-4.967054E-05	
0.057	4.967054E-05	-2.483527E-05	0	0	2.483527E-05	4.967054E-05	
0.0576	0	0	0	-4.967054E-05	0	-4.967054E-05	
0.0582	0	0	4.967054E-05	0	0	0	
0.0588	0	-2.483527E-05	0	0	-2.483527E-05	4.967054E-05	
0.0594	4.967054E-05	2.483527E-05	0	0	4.967054E-05	0	
0.06	-4.967054E-05	-4.967054E-05	0	-4.967054E-05	-2.483527E-05	0	
0.0606	2.483527E-05	-2.483527E-05	4.967054E-05	4.967054E-05	0	-4.967054E-05	
0.0612	-2.483527E-05	2.483527E-05	4.967054E-05	-4.967054E-05	0	0	
0.0618	4.967054E-05	-2.483527E-05	0	0	2.483527E-05	0	
0.0624	2.483527E-05	-2.483527E-05	0	-4.967054E-05	0	0	
0.063	0	0	0	0	-2.483527E-05	0	
0.0636	0	0	4.967054E-05	0	-4.967054E-05	4.967054E-05	
0.0642	7.450581E-05	2.483527E-05	0	0	0	-4.967054E-05	
0.0648	0	-2.483527E-05	0	0	2.483527E-05	0	
0.0654	2.483527E-05	2.483527E-05	4.967054E-05	-4.967054E-05	-2.483527E-05	0	
0.066	0	0	0	0	0	0	
0.06659999	2.483527E-05	0	0	-4.967054E-05	2.483527E-05	0	
0.0672	2.483527E-05	-2.483527E-05	0	0	2.483527E-05	0	
0.0678	-2.483527E-05	2.483527E-05	4.967054E-05	0	-2.483527E-05	0	
0.0684	2.483527E-05	-2.483527E-05	4.967054E-05	0	-4.967054E-05	0	
0.069	2.483527E-05	-4.967054E-05	0	-4.967054E-05	2.483527E-05	0	
0.0696	-4.967054E-05	0	0	0	2.483527E-05	0	
0.0702	4.967054E-05	0	4.967054E-05	0	0	0	
0.0708	2.483527E-05	-2.483527E-05	4.967054E-05	-4.967054E-05	0	0	
0.0714	2.483527E-05	0	0	0	-7.450581E-05	0	
0.072	7.450581E-05	2.483527E-05	0	-4.967054E-05	0	-4.967054E-05	
0.0726	-2.483527E-05	2.483527E-05	0	0	4.967054E-05	0	
0.07319999	4.967054E-05	-2.483527E-05	4.967054E-05	-4.967054E-05	-2.483527E-05	0	
0.0738	0	2.483527E-05	4.967054E-05	0	0	0	
0.0744	4.967054E-05	-7.450581E-05	0	0	-2.483527E-05	0	
0.075	2.483527E-05	0	0	-4.967054E-05	0	0	
0.0756	-2.483527E-05	-7.450581E-05	4.967054E-05	0	4.967054E-05	0	
0.0762	0	7.450581E-05	4.967054E-05	0	0	4.967054E-05	
0.0768	4.967054E-05	-4.967054E-05	0	-4.967054E-05	-2.483527E-05	-4.967054E-05	
0.0774	4.967054E-05	-4.967054E-05	4.967054E-05	0	-4.967054E-05	0	
0.078	2.483527E-05	7.450581E-05	0	-4.967054E-05	2.483527E-05	0	
0.0786	4.967054E-05	-2.483527E-05	4.967054E-05	0	-2.483527E-05	-4.967054E-05	
0.0792	2.483527E-05	-2.483527E-05	4.967054E-05	0	0	0	
0.07979999	2.483527E-05	-2.483527E-05	0	-4.967054E-05	0	4.967054E-05	
0.0804	2.483527E-05	0	0	-4.967054E-05	0	0	
0.081	0	0	4.967054E-05	0	2.483527E-05	0	
0.0816	-2.483527E-05	-4.967054E-05	0	-4.967054E-05	-2.483527E-05	-4.967054E-05	
0.0822	0	-2.483527E-05	9.934108E-05	0	0	0	
0.0828	0.0001241764	-2.483527E-05	0	0	-2.483527E-05	4.967054E-05	
0.0834	2.483527E-05	4.967054E-05	0	-4.967054E-05	0	-4.967054E-05	
0.084	2.483527E-05	0	9.934108E-05	0	0	0	
0.0846	2.483527E-05	-4.967054E-05	0	-4.967054E-05	0	0	
0.0852	7.450581E-05	2.483527E-05	4.967054E-05	0	0	0	
0.0858	2.483527E-05	-2.483527E-05	0	-9.934108E-05	0	0	
0.08639999	-4.967054E-05	-7.450581E-05	4.967054E-05	0	2.483527E-05	0	
0.087	7.450581E-05	0	9.934108E-05	0	-2.483527E-05	4.967054E-05	
0.0876	2.483527E-05	-4.967054E-05	0	0	-4.967054E-05	-4.967054E-05	
0.0882	4.967054E-05	4.967054E-05	0	-4.967054E-05	0	-4.967054E-05	
0.0888	7.450581E-05	-2.483527E-05	9.934108E-05	-4.967054E-05	0	0	
0.0894	0	0	0	0	2.483527E-05	0	
0.09	9.934108E-05	-2.483527E-05	4.967054E-05	-4.967054E-05	-2.483527E-05	0	
0.0906	0	-2.483527E-05	4.967054E-05	-4.967054E-05	0	0	
0.09119999	0	-2.483527E-05	4.967054E-05	0	4.967054E-05	4.967054E-05	
0.0918	2.483527E-05	-2.483527E-05	0	-9.934108E-05	-7.450581E-05	0	
0.0924	9.934108E-05	0	4.967054E-05	0	0	-9.934108E-05	
0.09299999	2.483527E-05	0	4.967054E-05	0	2.483527E-05	4.967054E-05	
0.0936	4.967054E-05	-2.483527E-05	4.967054E-05	-4.967054E-05	-2.483527E-05	-4.967054E-05	
0.0942	4.967054E-05	-2.483527E-05	0	-4.967054E-05	2.483527E-05	4.967054E-05	
0.0948	-4.967054E-05	-4.967054E-05	9.934108E-05	-4.967054E-05	-2.483527E-05	-4.967054E-05	
0.0954	4.967054E-05	-2.483527E-05	4.967054E-05	0	2.483527E-05	0	
0.096	7.450581E-05	-2.483527E-05	0	-4.967054E-05	-4.967054E-05	0	
0.0966	0.0001241764	2.483527E-05	4.967054E-05	-4.967054E-05	0	0	
0.0972	0	-2.483527E-05	4.967054E-05	-4.967054E-05	4.967054E-05	0	
0.09779999	4.967054E-05	0	9.934108E-05	0	-2.483527E-05	-4.967054E-05	
0.0984	4.967054E-05	-4.967054E-05	0	-9.934108E-05	-2.483527E-05	4.967054E-05	
0.099	0	-4.967054E-05	9.934108E-05	0	0	0	
0.09959999	4.967054E-05	-2.483527E-05	0	-4.967054E-05	-4.967054E-05	0	
0.1002	0.0001241764	2.483527E-05	4.967054E-05	-4.967054E-05	4.967054E-05	-4.967054E-05	
0.1008	2.483527E-05	-4.967054E-05	9.934108E-05	0	-2.483527E-05	0	
0.1014	7.450581E-05	-2.483527E-05	4.967054E-05	-4.967054E-05	0	0	
0.102	2.483527E-05	2.483527E-05	4.967054E-05	-4.967054E-05	0	0	
0.1026	2.483527E-05	-9.934108E-05	4.967054E-05	-9.934108E-05	2.483527E-05	0	
0.1032	2.483527E-05	-4.967054E-05	0	0	-4.967054E-05	0	
0.1038	0.0001241764	4.967054E-05	4.967054E-05	-9.934108E-05	2.483527E-05	-4.967054E-05	
0.1044	4.967054E-05	-7.450581E-05	9.934108E-05	0	-2.483527E-05	0	
0.105	7.450581E-05	2.483527E-05	4.967054E-05	-9.934108E-05	2.483527E-05	0	
