Time	Back_Left_Ankle_Extensor	Back_Left_Ankle_Flexor	Back_Left_Hip_Extensor	Back_Left_Hip_Flexor	Back_Left_Knee_Extensor	Back_Left_Knee_Flexor	
0	0	0	0	0	0	0	
0.0006	0	1.483029E-05	0	0	0	1.51903E-05	
0.0012	0.007691215	0.007741107	0.0102685	0.01025358	0.007694789	0.007744774	
0.0018	0.02141382	0.02130246	0.02852965	0.02827002	0.02142669	0.02131192	
0.0024	0.04139328	0.04068961	0.05510488	0.05403394	0.04141709	0.04070672	
0.003	0.06651764	0.06471194	0.08852057	0.08596502	0.06655806	0.06473943	
0.0036	0.09505541	0.0916623	0.1264718	0.1217903	0.09511392	0.09170104	
0.0042	0.1252501	0.1198775	0.1666255	0.159298	0.1253277	0.1199281	
0.0048	0.1556683	0.1480408	0.2070759	0.1967368	0.1557653	0.148103	
0.0054	0.1853033	0.1752582	0.2464856	0.2329173	0.1854192	0.1753318	
0.006	0.2135435	0.2010109	0.2840418	0.2671499	0.2136778	0.2010954	
0.0066	0.240087	0.2250649	0.3193423	0.2991228	0.2402381	0.2251597	
0.0072	0.2648451	0.2473779	0.3522698	0.3287802	0.2650119	0.247482	
0.0078	0.2878651	0.2680255	0.3828874	0.3562222	0.2880463	0.2681375	
0.0084	0.3092718	0.2871464	0.411361	0.3816344	0.3094665	0.287267	
0.009	0.3292282	0.3049086	0.4379068	0.4052391	0.3294356	0.3050368	
0.0096	0.3479096	0.3214863	0.4627579	0.4272679	0.3481284	0.3216213	
0.0102	0.3654891	0.3370472	0.4861447	0.4479446	0.365719	0.337189	
0.0108	0.3821299	0.351747	0.5082837	0.4674761	0.3823705	0.351895	
0.0114	0.3979821	0.365728	0.5293747	0.4860511	0.3982326	0.3658814	
0.012	0.4131804	0.3791156	0.5495965	0.5038373	0.4134404	0.3792748	
0.0126	0.4278452	0.3920224	0.5691096	0.5209837	0.4281142	0.3921873	
0.0132	0.4420838	0.404547	0.5880559	0.5376222	0.4423619	0.4047173	
0.0138	0.4559914	0.4167777	0.6065622	0.5538695	0.4562779	0.4169531	
0.0144	0.4696525	0.4287919	0.6247409	0.569829	0.4699475	0.4289724	
0.015	0.4831428	0.4406588	0.6426925	0.585593	0.4834462	0.4408446	
0.0156	0.4965299	0.4524409	0.6605069	0.6012439	0.4968418	0.4526317	
0.0162	0.5098747	0.4641936	0.678265	0.616856	0.5101947	0.4643896	
0.0168	0.5232325	0.4759679	0.6960402	0.6324966	0.5235608	0.4761688	
0.0174	0.5366532	0.4878099	0.7138991	0.648227	0.5369897	0.4880157	
0.018	0.5501828	0.4997615	0.7319028	0.6641036	0.5505279	0.4999721	
0.0186	0.5638641	0.5118617	0.7501076	0.6801783	0.5642175	0.5120778	
0.0192	0.5777354	0.5241473	0.7685657	0.6964995	0.5780978	0.5243689	
0.0198	0.5918341	0.5366526	0.7873259	0.7131125	0.5922052	0.5368794	
0.0204	0.6061941	0.5494089	0.8064331	0.7300597	0.6065743	0.5496415	
0.021	0.6208478	0.562447	0.8259307	0.7473813	0.6212374	0.562685	
