Time	(21) BR S1i	(22) BR S2i	(23) BR S3i	(24) BR S4i	
0	-0.06	-0.06	-0.06	-0.06	
0.0002	-0.06	-0.06	-0.06	-0.06	
0.0004	-0.06	-0.06	-0.06	-0.06	
0.0006	-0.06	-0.06	-0.06	-0.06	
0.0008	-0.06	-0.06	-0.06	-0.06	
0.0009999999	-0.06	-0.06	-0.06	-0.06	
0.0012	-0.06	-0.06	-0.06	-0.06	
0.0014	-0.06	-0.06	-0.05999999	-0.06	
0.0016	-0.06000001	-0.06	-0.05999999	-0.06	
0.0018	-0.06000002	-0.06	-0.05999998	-0.06	
0.002	-0.06000004	-0.06000001	-0.05999996	-0.05999999	
0.0022	-0.06000007	-0.06000001	-0.05999993	-0.05999999	
0.0024	-0.0600001	-0.06000001	-0.05999989	-0.05999998	
0.0026	-0.06000016	-0.06000002	-0.05999985	-0.05999998	
0.0028	-0.06000022	-0.06000003	-0.05999978	-0.05999997	
0.003	-0.0600003	-0.06000004	-0.0599997	-0.05999996	
0.0032	-0.06000041	-0.06000006	-0.05999959	-0.05999994	
0.0034	-0.06000053	-0.06000008	-0.05999947	-0.05999992	
0.0036	-0.06000068	-0.0600001	-0.05999932	-0.0599999	
0.0038	-0.06000085	-0.06000012	-0.05999915	-0.05999988	
0.004	-0.06000106	-0.06000015	-0.05999894	-0.05999985	
0.0042	-0.06000128	-0.06000018	-0.05999871	-0.05999982	
0.0044	-0.06000155	-0.06000022	-0.05999845	-0.05999978	
0.0046	-0.06000185	-0.06000026	-0.05999815	-0.05999974	
0.0048	-0.06000217	-0.06000031	-0.05999783	-0.05999969	
0.005	-0.06000254	-0.06000036	-0.05999746	-0.05999964	
0.0052	-0.06000294	-0.06000042	-0.05999706	-0.05999958	
0.0054	-0.06000337	-0.06000048	-0.05999663	-0.05999952	
0.0056	-0.06000385	-0.06000055	-0.05999615	-0.05999945	
0.0058	-0.06000436	-0.06000062	-0.05999564	-0.05999938	
0.006	-0.0600049	-0.0600007	-0.0599951	-0.0599993	
0.0062	-0.06000549	-0.06000078	-0.05999451	-0.05999922	
0.0064	-0.06000611	-0.06000087	-0.05999389	-0.05999913	
0.0066	-0.06000677	-0.06000096	-0.05999323	-0.05999904	
0.0068	-0.06000747	-0.06000106	-0.05999253	-0.05999894	
0.007	-0.0600082	-0.06000116	-0.0599918	-0.05999884	
0.0072	-0.06000897	-0.06000127	-0.05999103	-0.05999873	
0.0074	-0.06000977	-0.06000138	-0.05999023	-0.05999861	
0.0076	-0.06001061	-0.0600015	-0.05998939	-0.0599985	
0.0078	-0.06001147	-0.06000163	-0.05998853	-0.05999837	
0.007999999	-0.06001237	-0.06000175	-0.05998763	-0.05999824	
0.0082	-0.06001331	-0.06000189	-0.0599867	-0.05999811	
0.0084	-0.06001426	-0.06000202	-0.05998573	-0.05999798	
0.008599999	-0.06001525	-0.06000216	-0.05998475	-0.05999784	
0.0088	-0.06001627	-0.0600023	-0.05998373	-0.05999769	
0.009	-0.06001731	-0.06000245	-0.05998269	-0.05999755	
0.0092	-0.06001838	-0.0600026	-0.05998163	-0.05999739	
0.0094	-0.06001947	-0.06000276	-0.05998053	-0.05999724	
0.0096	-0.06002058	-0.06000292	-0.05997942	-0.05999709	
0.0098	-0.06002171	-0.06000308	-0.05997829	-0.05999693	
0.01	-0.06002286	-0.06000324	-0.05997714	-0.05999676	
0.0102	-0.06002403	-0.0600034	-0.05997597	-0.0599966	
0.0104	-0.06002522	-0.06000357	-0.05997478	-0.05999643	
0.0106	-0.06002642	-0.06000374	-0.05997358	-0.05999626	
0.0108	-0.06002764	-0.06000391	-0.05997236	-0.05999608	
0.011	-0.06002887	-0.06000409	-0.05997113	-0.05999591	
0.0112	-0.06003011	-0.06000426	-0.05996988	-0.05999573	
0.0114	-0.06003137	-0.06000444	-0.05996863	-0.05999556	
0.0116	-0.06003264	-0.06000462	-0.05996737	-0.05999538	
0.0118	-0.06003391	-0.0600048	-0.05996609	-0.0599952	
0.012	-0.06003519	-0.06000498	-0.05996481	-0.05999502	
0.0122	-0.06003648	-0.06000517	-0.05996352	-0.05999484	
0.0124	-0.06003778	-0.06000535	-0.05996222	-0.05999465	
0.0126	-0.06003908	-0.06000553	-0.05996092	-0.05999447	
0.0128	-0.06004038	-0.06000572	-0.05995962	-0.05999428	
0.013	-0.06004169	-0.0600059	-0.05995831	-0.0599941	
0.0132	-0.060043	-0.06000609	-0.059957	-0.05999391	
0.0134	-0.06004431	-0.06000628	-0.05995569	-0.05999373	
0.0136	-0.06004563	-0.06000646	-0.05995437	-0.05999354	
0.0138	-0.06004694	-0.06000665	-0.05995306	-0.05999335	
0.014	-0.06004826	-0.06000683	-0.05995174	-0.05999317	
0.0142	-0.06004957	-0.06000702	-0.05995043	-0.05999298	
0.0144	-0.06005088	-0.06000721	-0.05994912	-0.05999279	
0.0146	-0.06005219	-0.06000739	-0.05994781	-0.05999261	
0.0148	-0.0600535	-0.06000758	-0.0599465	-0.05999243	
0.015	-0.0600548	-0.06000776	-0.0599452	-0.05999224	
0.0152	-0.06005611	-0.06000794	-0.0599439	-0.05999206	
0.0154	-0.0600574	-0.06000813	-0.0599426	-0.05999187	
0.0156	-0.06005869	-0.06000831	-0.05994131	-0.05999169	
0.0158	-0.06005998	-0.0600085	-0.05994002	-0.0599915	
0.016	-0.06006126	-0.06000868	-0.05993874	-0.05999132	
0.0162	-0.06006254	-0.06000886	-0.05993746	-0.05999114	
0.0164	-0.06006382	-0.06000904	-0.05993618	-0.05999096	
0.0166	-0.06006508	-0.06000922	-0.05993492	-0.05999078	
0.0168	-0.06006634	-0.0600094	-0.05993366	-0.0599906	
0.017	-0.0600676	-0.06000957	-0.0599324	-0.05999042	
0.0172	-0.06006885	-0.06000975	-0.05993116	-0.05999025	
0.0174	-0.06007009	-0.06000993	-0.05992991	-0.05999007	
0.0176	-0.06007132	-0.0600101	-0.05992868	-0.0599899	
0.0178	-0.06007255	-0.06001028	-0.05992745	-0.05998972	
0.018	-0.06007377	-0.06001045	-0.05992623	-0.05998955	
0.0182	-0.06007499	-0.06001062	-0.05992502	-0.05998938	
0.0184	-0.06007619	-0.06001079	-0.05992381	-0.05998921	
0.0186	-0.06007739	-0.06001096	-0.05992261	-0.05998904	
0.0188	-0.06007858	-0.06001113	-0.05992142	-0.05998887	
0.019	-0.06007977	-0.0600113	-0.05992023	-0.0599887	
0.0192	-0.06008095	-0.06001147	-0.05991905	-0.05998853	
0.0194	-0.06008212	-0.06001163	-0.05991788	-0.05998836	
0.0196	-0.06008329	-0.0600118	-0.05991671	-0.0599882	
0.0198	-0.06008444	-0.06001196	-0.05991555	-0.05998804	
0.02	-0.0600856	-0.06001213	-0.0599144	-0.05998787	
0.0202	-0.06008674	-0.06001229	-0.05991326	-0.05998771	
0.0204	-0.06008788	-0.06001245	-0.05991212	-0.05998755	
0.0206	-0.06008901	-0.06001261	-0.05991099	-0.05998739	
0.0208	-0.06009014	-0.06001277	-0.05990986	-0.05998723	
0.021	-0.06009126	-0.06001293	-0.05990874	-0.05998707	
0.0212	-0.06009237	-0.06001309	-0.05990763	-0.05998691	
0.0214	-0.06009348	-0.06001325	-0.05990652	-0.05998676	
0.0216	-0.06009458	-0.0600134	-0.05990541	-0.0599866	
0.0218	-0.06009568	-0.06001356	-0.05990432	-0.05998644	
0.022	-0.06009677	-0.06001372	-0.05990322	-0.05998629	
0.0222	-0.06009786	-0.06001387	-0.05990214	-0.05998613	
0.0224	-0.06009895	-0.06001402	-0.05990105	-0.05998598	
0.0226	-0.06010002	-0.06001417	-0.05989998	-0.05998582	
0.0228	-0.0601011	-0.06001433	-0.05989891	-0.05998567	
0.023	-0.06010216	-0.06001448	-0.05989784	-0.05998552	
0.0232	-0.06010323	-0.06001463	-0.05989677	-0.05998537	
0.0234	-0.06010429	-0.06001478	-0.05989571	-0.05998522	
0.0236	-0.06010535	-0.06001493	-0.05989465	-0.05998507	
0.0238	-0.0601064	-0.06001508	-0.0598936	-0.05998492	
0.024	-0.06010745	-0.06001523	-0.05989255	-0.05998477	
0.0242	-0.0601085	-0.06001538	-0.0598915	-0.05998462	
0.0244	-0.06010955	-0.06001553	-0.05989045	-0.05998447	
0.0246	-0.06011059	-0.06001567	-0.05988941	-0.05998433	
0.0248	-0.06011163	-0.06001582	-0.05988837	-0.05998418	
0.025	-0.06011267	-0.06001597	-0.05988733	-0.05998403	
0.0252	-0.06011371	-0.06001612	-0.05988629	-0.05998388	
0.0254	-0.06011475	-0.06001627	-0.05988525	-0.05998373	
0.0256	-0.06011579	-0.06001641	-0.05988421	-0.05998359	
0.0258	-0.06011682	-0.06001656	-0.05988318	-0.05998344	
0.026	-0.06011786	-0.06001671	-0.05988214	-0.05998329	
0.0262	-0.06011889	-0.06001686	-0.05988111	-0.05998315	
0.0264	-0.06011993	-0.060017	-0.05988007	-0.059983	
0.0266	-0.06012096	-0.06001715	-0.05987904	-0.05998285	
0.0268	-0.060122	-0.0600173	-0.059878	-0.05998271	
0.027	-0.06012303	-0.06001744	-0.05987697	-0.05998256	
0.0272	-0.06012407	-0.06001759	-0.05987593	-0.05998241	
0.0274	-0.06012511	-0.06001774	-0.05987489	-0.05998226	
0.0276	-0.06012615	-0.06001788	-0.05987385	-0.05998211	
0.0278	-0.0601272	-0.06001803	-0.0598728	-0.05998197	
0.028	-0.06012824	-0.06001818	-0.05987176	-0.05998182	
0.0282	-0.06012929	-0.06001833	-0.05987071	-0.05998167	
0.0284	-0.06013034	-0.06001848	-0.05986966	-0.05998152	
0.0286	-0.0601314	-0.06001863	-0.0598686	-0.05998137	
0.0288	-0.06013245	-0.06001878	-0.05986755	-0.05998122	
0.029	-0.06013351	-0.06001893	-0.05986648	-0.05998107	
0.0292	-0.06013458	-0.06001908	-0.05986542	-0.05998092	
0.0294	-0.06013565	-0.06001923	-0.05986435	-0.05998077	
0.0296	-0.06013672	-0.06001939	-0.05986328	-0.05998062	
0.0298	-0.0601378	-0.06001954	-0.0598622	-0.05998046	
0.03	-0.06013888	-0.06001969	-0.05986112	-0.05998031	
0.0302	-0.06013997	-0.06001985	-0.05986003	-0.05998015	
0.0304	-0.06014106	-0.06002	-0.05985893	-0.05998	
0.0306	-0.06014216	-0.06002016	-0.05985784	-0.05997984	
0.0308	-0.06014327	-0.06002032	-0.05985673	-0.05997968	
0.031	-0.06014438	-0.06002047	-0.05985562	-0.05997953	
0.0312	-0.0601455	-0.06002063	-0.0598545	-0.05997937	
0.0314	-0.06014663	-0.06002079	-0.05985337	-0.05997921	
0.0316	-0.06014776	-0.06002095	-0.05985224	-0.05997905	
0.0318	-0.0601489	-0.06002111	-0.0598511	-0.05997889	
0.032	-0.06015005	-0.06002127	-0.05984996	-0.05997872	
0.0322	-0.0601512	-0.06002144	-0.0598488	-0.05997856	
0.0324	-0.06015236	-0.06002161	-0.05984764	-0.0599784	
0.0326	-0.06015353	-0.06002177	-0.05984646	-0.05997823	
0.0328	-0.06015471	-0.06002194	-0.05984528	-0.05997806	
0.033	-0.0601559	-0.0600221	-0.0598441	-0.05997789	
0.0332	-0.0601571	-0.06002228	-0.0598429	-0.05997773	
0.0334	-0.06015831	-0.06002245	-0.05984169	-0.05997755	
0.0336	-0.06015952	-0.06002262	-0.05984048	-0.05997738	
0.0338	-0.06016075	-0.06002279	-0.05983925	-0.05997721	
0.034	-0.06016199	-0.06002297	-0.05983801	-0.05997703	
0.0342	-0.06016323	-0.06002314	-0.05983677	-0.05997685	
0.0344	-0.06016449	-0.06002332	-0.05983551	-0.05997668	
0.0346	-0.06016576	-0.0600235	-0.05983424	-0.0599765	
0.0348	-0.06016704	-0.06002368	-0.05983296	-0.05997632	
0.035	-0.06016833	-0.06002387	-0.05983167	-0.05997613	
0.0352	-0.06016963	-0.06002405	-0.05983037	-0.05997595	
0.0354	-0.06017094	-0.06002424	-0.05982906	-0.05997576	
0.0356	-0.06017227	-0.06002443	-0.05982773	-0.05997558	
0.0358	-0.0601736	-0.06002462	-0.0598264	-0.05997539	
0.036	-0.06017495	-0.06002481	-0.05982505	-0.0599752	
0.0362	-0.06017631	-0.060025	-0.05982369	-0.059975	
0.0364	-0.06017769	-0.06002519	-0.05982231	-0.05997481	
0.0366	-0.06017907	-0.06002539	-0.05982093	-0.05997461	
0.0368	-0.06018048	-0.06002559	-0.05981952	-0.05997441	
0.037	-0.06018189	-0.06002579	-0.05981811	-0.05997421	
0.0372	-0.06018332	-0.06002599	-0.05981668	-0.05997401	
0.0374	-0.06018476	-0.06002619	-0.05981524	-0.05997381	
0.0376	-0.06018621	-0.0600264	-0.05981379	-0.0599736	
0.0378	-0.06018768	-0.06002661	-0.05981232	-0.05997339	
0.038	-0.06018917	-0.06002682	-0.05981083	-0.05997318	
0.0382	-0.06019067	-0.06002703	-0.05980933	-0.05997297	
0.0384	-0.06019218	-0.06002724	-0.05980782	-0.05997276	
0.0386	-0.06019371	-0.06002746	-0.05980629	-0.05997254	
0.0388	-0.06019525	-0.06002768	-0.05980475	-0.05997232	
0.039	-0.06019681	-0.0600279	-0.05980319	-0.0599721	
0.0392	-0.06019839	-0.06002812	-0.05980161	-0.05997188	
0.0394	-0.06019998	-0.06002835	-0.05980002	-0.05997165	
0.0396	-0.06020158	-0.06002858	-0.05979842	-0.05997143	
0.0398	-0.06020321	-0.0600288	-0.05979679	-0.05997119	
0.04	-0.06020485	-0.06002904	-0.05979515	-0.05997096	
0.0402	-0.0602065	-0.06002927	-0.0597935	-0.05997073	
