Time	LH Force	LH_AnkleZ	LH_HipZ	LH_Knee	Pelvis	
0	-0.05	0	0	0	0	
0.0001	-0.05	1.246102E-16	4.084696E-16	-1.018931E-16	9.969606E-05	
0.0002	-0.05	9.621891E-07	-1.03172E-06	-3.895228E-07	0.0001148468	
0.0003	-0.05	4.366064E-06	-6.516912E-07	1.883872E-06	0.0002019651	
0.0004	-0.05	8.575735E-06	-1.02561E-06	4.084684E-06	0.0002736825	
0.0005	-0.05	1.335704E-05	-1.726171E-06	6.690663E-06	0.0003298468	
0.0006	-0.05	1.78582E-05	-2.58508E-06	9.780361E-06	0.0003903885	
0.0007	-0.05	2.109348E-05	-3.607699E-06	1.323493E-05	0.0004466933	
0.0008	-0.05	2.176457E-05	-4.800755E-06	1.688182E-05	0.0004999164	
0.0009	-0.05	2.176457E-05	-6.276033E-06	2.074066E-05	0.0005499451	
0.0009999999	-0.05	2.176457E-05	-8.116493E-06	2.473053E-05	0.0005967336	
0.0011	-0.05	2.176457E-05	-1.037973E-05	2.873765E-05	0.0006401226	
0.0012	-0.05	2.176457E-05	-1.313517E-05	3.26247E-05	0.0006794675	
0.0013	-0.05	2.176456E-05	-1.645208E-05	3.625716E-05	0.000715411	
0.0014	-0.05	2.176455E-05	-2.041148E-05	3.947461E-05	0.0007472525	
0.0015	-0.05	2.176454E-05	-2.509465E-05	4.211827E-05	0.0007747309	
0.0016	-0.05	2.082481E-05	-3.056225E-05	4.395302E-05	0.0007975545	
0.0017	-0.05	1.786032E-05	-3.686783E-05	4.474206E-05	0.0008185648	
0.0018	-0.05	1.181746E-05	-4.386412E-05	4.474207E-05	0.0008377292	
0.0019	-0.05	2.410704E-06	-5.123853E-05	4.474206E-05	0.0008527922	
0.002	-0.05	-1.155464E-05	-5.894828E-05	4.474205E-05	0.0008628544	
0.0021	-0.05	-3.116021E-05	-6.695669E-05	4.474204E-05	0.0008678976	
0.0022	-0.05	-5.768748E-05	-7.521563E-05	4.474202E-05	0.0008672191	
0.0023	-0.05	-9.221587E-05	-8.372771E-05	4.464945E-05	0.0008596599	
0.0024	-0.05	-0.0001360536	-9.252759E-05	4.426831E-05	0.0008454068	
0.0025	-0.05	-0.0001901196	-0.0001016655	4.341991E-05	0.0008237934	
0.0026	-0.05	-0.000255308	-0.0001112012	4.19125E-05	0.0007945848	
0.0027	-0.05	-0.0003321024	-0.0001212082	3.958009E-05	0.0007574824	
0.0028	-0.05	-0.0004208713	-0.0001317709	3.625112E-05	0.0007122111	
0.0029	-0.05	-0.0005214762	-0.0001429908	3.178472E-05	0.0006587597	
0.003	-0.05	-0.00063361	-0.0001549802	2.604039E-05	0.0005969673	
0.0031	-0.05	-0.0007564614	-0.000167867	1.890993E-05	0.0005268645	
0.0032	-0.05	-0.0008889956	-0.0001817887	1.029469E-05	0.0004484889	
0.0033	-0.05	-0.001029754	-0.0001968947	1.249033E-07	0.0003618898	
