V2,y,y,y,y,y,y
1,0,450,0,450,0,450
2,0,450,0,450,0,450
3,0,450,0,450,0,450
4,0,450,0,450,0,450
5,0,450,0,450,0,450
6,0,450,0,450,0,450
7,0,450,0,450,0,450
8,0,450,0,450,0,450
9,0,450,0,450,0,450
10,0,450,0,450,0,450
11,0,450,0,450,0,450
12,0,450,0,450,0,450
13,0,450,0,450,0,450
14,0,450,0,450,0,450
15,0,450,0,450,0,450
16,0,450,0,450,0,450
17,0,450,0,450,0,450
18,0,450,0,450,0,450
19,0,450,0,450,0,450
20,0,450,0,450,0,450
21,0,450,0,450,0,450
22,0,450,0,450,0,450
23,0,450,0,450,0,450
24,0,450,0,450,0,450
25,0,450,0,450,0,450
26,0,450,0,450,0,450
27,0,450,0,450,0,450
28,0,450,0,450,0,450
29,0,450,0,450,0,450
30,0,450,0,450,0,450
31,0,450,0,450,0,450
32,0,450,0,450,0,450
33,0,450,0,450,0,450
34,0,450,0,450,0,450
35,0,450,0,450,0,450
36,0,450,0,450,0,450
37,0,450,0,450,0,450
38,0,450,0,450,0,450
39,0,450,0,450,0,450
40,0,450,0,450,0,450
41,0,450,0,450,0,450
42,0,450,0,450,0,450
43,0,450,0,450,0,450
44,0,450,0,450,0,450
45,0,450,0,450,0,450
46,0,450,0,450,0,450
47,0,450,0,450,0,450
48,0,450,0,450,0,450
49,0,450,0,450,0,450
50,0,450,0,450,0,450
51,0,450,0,450,0,450
52,0,450,0,450,0,450
53,0,450,0,450,0,450
54,0,450,0,450,0,450
55,0,450,0,450,0,450
56,0,450,0,450,0,450
57,0,450,0,450,0,450
58,0,450,0,450,0,450
59,0,450,0,450,0,450
60,0,450,0,450,0,450
61,0,450,0,450,0,450
62,0,450,0,450,0,450
63,0,450,0,450,0,450
64,0,450,0,450,0,450
65,0,450,0,450,0,450
66,0,450,0,450,0,450
67,0,450,0,450,0,450
68,0,450,0,450,0,450
69,0,450,0,450,0,450
70,0,450,0,450,0,450
71,0,450,0,450,0,450
72,0,450,0,450,0,450
73,0,450,0,450,0,450
74,0,450,0,450,0,450
75,0,450,0,450,0,450
76,0,450,0,450,0,450
77,0,450,0,450,0,450
78,0,450,0,450,0,450
79,0,450,0,450,0,450
80,0,450,0,450,0,450
81,0,450,0,450,0,450
82,0,450,0,450,0,450
83,0,450,0,450,0,450
84,0,450,0,450,0,450
85,0,450,0,450,0,450
86,0,450,0,450,0,450
87,0,450,0,450,0,450
88,0,450,0,450,0,450
89,0,450,0,450,0,450
90,0,450,0,450,0,450
91,0,450,0,450,0,450
92,0,450,0,450,0,450
93,0,450,0,450,0,450
94,0,450,0,450,0,450
95,0,450,0,450,0,450
96,0,450,0,450,0,450
97,0,450,0,450,0,450
98,0,450,0,450,0,450
99,0,450,0,450,0,450
100,0,450,0,450,0,450
101,0,450,0,450,0,450
102,0,450,0,450,0,450
103,0,450,0,450,0,450
104,0,450,0,450,0,450
105,0,450,0,450,0,450
106,0,450,0,450,0,450
107,0,450,0,450,0,450
108,0,450,0,450,0,450
109,0,450,0,450,0,450
110,0,450,0,450,0,450
111,0,450,0,450,0,450
112,0,450,0,450,0,450
113,0,450,0,450,0,450
114,0,450,0,450,0,450
115,0,450,0,450,0,450
116,0,450,0,450,0,450
117,0,450,0,450,0,450
118,0,450,0,450,0,450
119,0,450,0,450,0,450
120,0,450,0,450,0,450
121,0,450,0,450,0,450
122,0,450,0,450,0,450
123,0,450,0,450,0,450
124,0,450,0,450,0,450
125,0,450,0,450,0,450
126,0,450,0,450,0,450
